participant_id	run_name	cond1	acc1	rt1	cond2	acc2	rt2	cond3	acc3	rt3	cond4	acc4	rt4	task
sub-1002	sub-1002_ses-1_task-LocalASL_acq-D2S0201_run-1_events.tsv	HS	1	2473.833	Loc	1	2646.5	Diff	1	2048.417	NA	NA	NA	LocalASL
sub-1002	sub-1002_ses-1_task-LocalASL_acq-D2S0301_run-2_events.tsv	HS	0.833	2721.833	Loc	1	2011.833	Diff	1	1917.833	NA	NA	NA	LocalASL
sub-1076	sub-1076_ses-1_task-LocalASL_acq-D3S0301_run-1_events.tsv	HS	1	1753	Loc	1	1841.5	Diff	0.667	1915	NA	NA	NA	LocalASL
sub-1076	sub-1076_ses-1_task-LocalASL_acq-D3S0401_run-2_events.tsv	HS	0.833	1708.667	Loc	1	1594.667	Diff	0.917	1767.667	NA	NA	NA	LocalASL
sub-1077	sub-1077_ses-1_task-LocalASL_acq-D1S0901_run-1_events.tsv	HS	0.833	2439.833	Loc	0.667	2694	Diff	0.917	2017.25	NA	NA	NA	LocalASL
sub-1077	sub-1077_ses-1_task-LocalASL_acq-D1S1001_run-2_events.tsv	HS	1	2302.833	Loc	0.833	2102	Diff	0.917	1976.667	NA	NA	NA	LocalASL
sub-1078	sub-1078_ses-1_task-LocalASL_acq-D1S0901_run-1_events.tsv	HS	1	1919.833	Loc	1	2042.667	Diff	0.417	2348.5	NA	NA	NA	LocalASL
sub-1078	sub-1078_ses-1_task-LocalASL_acq-D1S1001_run-2_events.tsv	HS	1	1916.333	Loc	1	2055.167	Diff	0.75	2559.583	NA	NA	NA	LocalASL
sub-1079	sub-1079_ses-1_task-LocalASL_acq-D1S0901_run-1_events.tsv	HS	0.667	1791.5	Loc	0.833	1745.333	Diff	0.917	1656.833	NA	NA	NA	LocalASL
sub-1079	sub-1079_ses-1_task-LocalASL_acq-D1S1001_run-2_events.tsv	HS	0.5	1701.5	Loc	0.667	1773.833	Diff	0.917	1685.5	NA	NA	NA	LocalASL
sub-1080	sub-1080_ses-1_task-LocalASL_acq-D2S0401_run-1_events.tsv	HS	0.833	1961	Loc	1	2232.333	Diff	0.917	2069.833	NA	NA	NA	LocalASL
sub-1080	sub-1080_ses-1_task-LocalASL_acq-D2S0701_run-2_events.tsv	HS	0.833	2109.167	Loc	0.667	1867	Diff	1	1879.167	NA	NA	NA	LocalASL
sub-1081	sub-1081_ses-1_task-LocalASL_acq-D2S0401_run-1_events.tsv	HS	1	1856	Loc	0.833	2079.167	Diff	0.75	2007.917	NA	NA	NA	LocalASL
sub-1081	sub-1081_ses-1_task-LocalASL_acq-D2S0701_run-2_events.tsv	HS	0.833	1747	Loc	1	1773.167	Diff	0.917	1985.5	NA	NA	NA	LocalASL
sub-1082	sub-1082_ses-1_task-LocalASL_acq-D2S0401_run-1_events.tsv	HS	0.667	2540	Loc	0.6	2546.333	Diff	0.833	2692.5	NA	NA	NA	LocalASL
sub-1082	sub-1082_ses-1_task-LocalASL_acq-D2S0701_run-2_events.tsv	HS	0.167	2456.5	Loc	0.667	2325.667	Diff	1	2422.583	NA	NA	NA	LocalASL
sub-1083	sub-1083_ses-1_task-LocalASL_acq-D1S0901_run-1_events.tsv	HS	1	2354	Loc	1	2469.333	Diff	1	2242.25	NA	NA	NA	LocalASL
sub-1083	sub-1083_ses-1_task-LocalASL_acq-D1S1001_run-2_events.tsv	HS	1	2423.667	Loc	1	2332.667	Diff	0.917	2100.167	NA	NA	NA	LocalASL
sub-1084	sub-1084_ses-1_task-LocalASL_acq-D2S0401_run-1_events.tsv	HS	1	1498.833	Loc	1	1630.167	Diff	0.333	1724.833	NA	NA	NA	LocalASL
sub-1084	sub-1084_ses-1_task-LocalASL_acq-D2S0701_run-2_events.tsv	HS	0.833	1489.667	Loc	0.833	1474.167	Diff	0.5	2421.917	NA	NA	NA	LocalASL
sub-1086	sub-1086_ses-1_task-LocalASL_acq-D2S0401_run-1_events.tsv	HS	0.833	1535.5	Loc	0.833	1751.667	Diff	0.5	2146.583	NA	NA	NA	LocalASL
sub-1086	sub-1086_ses-1_task-LocalASL_acq-D2S0701_run-2_events.tsv	HS	1	1759.833	Loc	0.833	1512.167	Diff	0.667	2207.083	NA	NA	NA	LocalASL
sub-1089	sub-1089_ses-1_task-LocalASL_acq-D1S0901_run-1_events.tsv	HS	1	1782.333	Loc	1	1803	Diff	0.75	2391.167	NA	NA	NA	LocalASL
sub-1089	sub-1089_ses-1_task-LocalASL_acq-D1S1001_run-2_events.tsv	HS	0.833	1929.5	Loc	0.667	2100.5	Diff	0.917	2010.167	NA	NA	NA	LocalASL
sub-1090	sub-1090_ses-1_task-LocalASL_acq-D1S0901_run-1_events.tsv	HS	1	1662.5	Loc	0.5	1888.833	Diff	0.5	1973	NA	NA	NA	LocalASL
sub-1090	sub-1090_ses-1_task-LocalASL_acq-D1S1001_run-2_events.tsv	HS	1	1890.667	Loc	0.833	1854.333	Diff	0.583	1953	NA	NA	NA	LocalASL
sub-1091	sub-1091_ses-1_task-LocalASL_acq-D1S0901_run-1_events.tsv	HS	0.833	2317.167	Loc	0.2	2362.833	Diff	0.8	2557.25	NA	NA	NA	LocalASL
sub-1091	sub-1091_ses-1_task-LocalASL_acq-D1S1001_run-2_events.tsv	HS	0.25	3117.5	Loc	0.667	1883.167	Diff	0.917	2257.417	NA	NA	NA	LocalASL
sub-1101	sub-1101_ses-1_task-LocalASL_acq-D2S0401_run-1_events.tsv	HS	0.833	2079.167	Loc	0.667	2130.167	Diff	0.917	1977.667	NA	NA	NA	LocalASL
sub-1101	sub-1101_ses-1_task-LocalASL_acq-D2S0701_run-2_events.tsv	HS	1	1929.833	Loc	0.667	2149.167	Diff	0.917	1882.75	NA	NA	NA	LocalASL
sub-1102	sub-1102_ses-1_task-LocalASL_acq-D2S0401_run-1_events.tsv	HS	0.333	2342.833	Loc	0.833	2404.833	Diff	0.917	2187.083	NA	NA	NA	LocalASL
sub-1102	sub-1102_ses-1_task-LocalASL_acq-D2S0701_run-2_events.tsv	HS	1	2400	Loc	0.833	2022.833	Diff	1	2346.167	NA	NA	NA	LocalASL
sub-1103	sub-1103_ses-1_task-LocalASL_acq-D2S0401_run-1_events.tsv	HS	1	1766.167	Loc	1	2157.667	Diff	0.833	1876.417	NA	NA	NA	LocalASL
sub-1103	sub-1103_ses-1_task-LocalASL_acq-D2S0701_run-2_events.tsv	HS	1	1806.5	Loc	0.833	1804.333	Diff	0.833	1778.5	NA	NA	NA	LocalASL
sub-1105	sub-1105_ses-1_task-LocalASL_acq-D2S0401_run-1_events.tsv	HS	0.667	2164	Loc	0.5	2504.333	Diff	1	2082.667	NA	NA	NA	LocalASL
sub-1105	sub-1105_ses-1_task-LocalASL_acq-D2S0701_run-2_events.tsv	HS	0.333	2084.167	Loc	0.667	1829.5	Diff	1	2077.167	NA	NA	NA	LocalASL
sub-1107	sub-1107_ses-1_task-LocalASL_acq-D2S0801_run-1_events.tsv	HS	1	2263.5	Loc	0.667	2454.5	Diff	0.833	2230.5	NA	NA	NA	LocalASL
sub-1107	sub-1107_ses-1_task-LocalASL_acq-D2S0901_run-2_events.tsv	HS	0.833	2495	Loc	1	1966.5	Diff	1	2327.583	NA	NA	NA	LocalASL
sub-1110	sub-1110_ses-1_task-LocalASL_acq-D2S0401_run-1_events.tsv	HS	0.833	1864.167	Loc	0.833	1951.5	Diff	0.833	1926.167	NA	NA	NA	LocalASL
sub-1110	sub-1110_ses-1_task-LocalASL_acq-D2S0701_run-2_events.tsv	HS	0.667	1817.667	Loc	0.833	1827.833	Diff	1	1833.25	NA	NA	NA	LocalASL
sub-1111	sub-1111_ses-1_task-LocalASL_acq-D2S0401_run-1_events.tsv	HS	0.667	2519.667	Loc	0.667	2512.167	Diff	0.833	2259.583	NA	NA	NA	LocalASL
sub-1111	sub-1111_ses-1_task-LocalASL_acq-D2S0901_run-2_events.tsv	HS	0.833	2329.5	Loc	0.667	2430.167	Diff	1	1995.417	NA	NA	NA	LocalASL
sub-1116	sub-1116_ses-1_task-LocalASL_acq-D2S0401_run-1_events.tsv	HS	1	1906.5	Loc	0.833	2548.333	Diff	1	2126.5	NA	NA	NA	LocalASL
sub-1116	sub-1116_ses-1_task-LocalASL_acq-D2S0701_run-2_events.tsv	HS	0.833	2174.5	Loc	1	1974.333	Diff	0.833	2137.917	NA	NA	NA	LocalASL
sub-1117	sub-1117_ses-1_task-LocalASL_acq-D2S0401_run-1_events.tsv	HS	1	2413	Loc	1	2163	Diff	0.667	2443.5	NA	NA	NA	LocalASL
sub-1117	sub-1117_ses-1_task-LocalASL_acq-D2S0901_run-2_events.tsv	HS	1	1932.5	Loc	0.833	2019.5	Diff	0.917	2126	NA	NA	NA	LocalASL
sub-1118	sub-1118_ses-1_task-LocalASL_acq-D2S0401_run-1_events.tsv	HS	1	1858.333	Loc	1	2423.4	Diff	0.25	2332.583	NA	NA	NA	LocalASL
sub-1118	sub-1118_ses-1_task-LocalASL_acq-D2S0901_run-2_events.tsv	HS	1	2181.167	Loc	1	2029.333	Diff	0.833	2338.583	NA	NA	NA	LocalASL
sub-1119	sub-1119_ses-1_task-LocalASL_acq-D2S0501_run-1_events.tsv	HS	1	1717.167	Loc	1	2453	Diff	1	1767.333	NA	NA	NA	LocalASL
