onset	duration	trial_type	trial_name	prime_stim	targ_stim	response_time	resp	cresp	acc
1.525	5.283	3	UnrN	T3_system.bmp	T0_head.bmp	2615	7	8	0
6.808	5.799	2	LowY	T3_speak.bmp	T0_talk.bmp	1411	7	7	1
12.607	5.799	3	UnrN	T3_cobra.bmp	T1_slipper.bmp	3436	8	8	1
18.406	5.3	2	LowY	T3_distance.bmp	T2_mile.bmp	2485	8	7	0
23.706	5.299	8	FixN	Gen/_Fix_Red.bmp	Gen/_Fix_Green.bmp	1449	8	8	1
29.005	5.299	5	PercY	_F3_s4.bmp	_F2_s4.bmp	1382	7	7	1
34.304	5.3	3	UnrN	T3_chill.bmp	T0_hawk.bmp	2699	8	8	1
39.604	5.299	1	HighY	T3_thin.bmp	T0_fat.bmp	3032	8	7	0
44.903	5.299	1	HighY	T3_sketch.bmp	T0_draw.bmp	1532	7	7	1
50.202	5.3	7	FixY	Gen/_Fix_Red.bmp	Gen/_Fix_Red.bmp	1585	7	7	1
55.502	4.799	1	HighY	T3_dog.bmp	T2_cat.bmp	2374	8	7	0
60.301	4.799	2	LowY	T3_guide.bmp	T1_tour.bmp	3780	8	7	0
65.1	4.8	8	FixN	Gen/_Fix_Red.bmp	Gen/_Fix_Green.bmp	1151	7	8	0
69.9	5.799	3	UnrN	T3_adult.bmp	T0_pond.bmp	2182	7	8	0
75.699	5.799	7	FixY	Gen/_Fix_Green.bmp	Gen/_Fix_Green.bmp	1319	7	7	1
81.498	5.799	2	LowY	T3_reef.bmp	T0_coral.bmp	3169	8	7	0
87.297	5.8	5	PercY	_F3_e6.bmp	_F1_e6.bmp	2169	7	7	1
93.097	5.799	8	FixN	Gen/_Fix_Red.bmp	Gen/_Fix_Green.bmp	1737	8	8	1
98.896	4.799	1	HighY	T3_little.bmp	T1_big.bmp	1322	8	7	0
103.695	4.8	2	LowY	T3_motion.bmp	T1_movement.bmp	2523	8	7	0
108.495	4.799	3	UnrN	T3_hoof.bmp	T0_stitch.bmp	2107	7	8	0
113.294	5.799	2	LowY	T3_salad.bmp	T0_lettuce.bmp	2140	8	7	0
119.093	5.316	2	LowY	T3_lip.bmp	T1_kiss.bmp	1189	7	7	1
124.409	5.3	2	LowY	T3_shout.bmp	T1_yell.bmp	1089	7	7	1
129.709	5.282	1	HighY	T3_dime.bmp	T0_nickel.bmp	2230	7	7	1
134.991	5.3	5	PercY	_F3_o4.bmp	_F2_o4.bmp	1507	7	7	1
140.291	4.799	3	UnrN	T3_cream.bmp	T2_grip.bmp	3120	8	8	1
145.09	5.299	3	UnrN	T3_trust.bmp	T2_dozen.bmp	2120	8	8	1
150.389	4.8	3	UnrN	T3_sailing.bmp	T2_nest.bmp	1677	7	8	0
155.189	4.799	8	FixN	Gen/_Fix_Green.bmp	Gen/_Fix_Red.bmp	1485	8	8	1
159.988	4.799	3	UnrN	T3_pigeon.bmp	T1_gamble.bmp	2366	8	8	1
164.787	4.8	2	LowY	T3_maple.bmp	T2_syrup.bmp	2511	7	7	1
169.587	5.799	2	LowY	T3_hop.bmp	T0_skip.bmp	1679	7	7	1
175.386	5.299	6	PercN	_F3_f6.bmp	_F1_d6.bmp	1248	8	8	1
180.685	4.8	6	PercN	_F3_d4.bmp	_F0_o4.bmp	1557	8	8	1
185.485	5.799	8	FixN	Gen/_Fix_Green.bmp	Gen/_Fix_Red.bmp	1101	8	8	1
191.284	5.799	3	UnrN	T3_blanket.bmp	T1_split.bmp	2654	8	8	1
197.083	4.8	1	HighY	T3_yours.bmp	T1_mine.bmp	2471	8	7	0
201.883	5.799	3	UnrN	T3_corn.bmp	T1_blame.bmp	3384	7	8	0
207.682	5.299	3	UnrN	T3_hunter.bmp	T2_lemon.bmp	3863	8	8	1
212.981	5.299	7	FixY	Gen/_Fix_Red.bmp	Gen/_Fix_Red.bmp	1237	7	7	1
218.28	4.783	6	PercN	_F3_b6.bmp	_F1_f6.bmp	770	8	8	1
223.063	5.799	1	HighY	T3_prison.bmp	T2_jail.bmp	2243	8	7	0
228.862	4.8	2	LowY	T3_hoot.bmp	T2_owl.bmp	3299	n/a	7	n/a
233.662	5.299	6	PercN	_F3_f4.bmp	_F0_d4.bmp	1612	8	8	1
238.961	5.299	2	LowY	T3_water.bmp	T2_drink.bmp	1473	8	7	0
244.26	5.8	7	FixY	Gen/_Fix_Green.bmp	Gen/_Fix_Green.bmp	694	7	7	1
250.06	4.816	1	HighY	T3_table.bmp	T0_chair.bmp	2047	8	7	0
254.876	5.299	8	FixN	Gen/_Fix_Green.bmp	Gen/_Fix_Red.bmp	1278	8	8	1
260.175	5.782	1	HighY	T3_vine.bmp	T2_grape.bmp	2995	7	7	1
265.957	5.8	1	HighY	T3_noun.bmp	T1_verb.bmp	4299	n/a	7	n/a
271.757	5.799	6	PercN	_F3_o4.bmp	_F2_b4.bmp	1469	7	8	0
277.556	4.799	7	FixY	Gen/_Fix_Red.bmp	Gen/_Fix_Red.bmp	1750	7	7	1
282.355	4.8	5	PercY	_F3_b6.bmp	_F0_b6.bmp	1591	7	7	1
287.155	5.799	1	HighY	T3_lend.bmp	T1_borrow.bmp	1791	7	7	1
292.954	4.799	7	FixY	Gen/_Fix_Green.bmp	Gen/_Fix_Green.bmp	824	7	7	1
297.753	5.3	1	HighY	T3_silver.bmp	T2_gold.bmp	1433	8	7	0
303.053	5.799	5	PercY	_F3_d6.bmp	_F1_d6.bmp	1261	7	7	1
