onset	duration	trial_type	trial_name	prime_stim	targ_stim	response_time	resp	cresp	acc
1.503	6.599	7	FixY	Gen/_Fix_Red.mpg	Gen/_Fix_Red.mpg	1544	7	7	1
8.102	6.599	2	Loc	year2.mpg	bicycle2.mpg	2217	7	7	1
14.701	5.6	8	FixN	Gen/_Fix_Red.mpg	Gen/_Fix_Green.mpg	1770	8	8	1
20.301	6.082	3	Diff	lipstick2.mpg	boy2.mpg	1891	8	8	1
26.383	6.599	3	Diff	war.mpg	family.mpg	1776	8	8	1
32.982	6.599	8	FixN	Gen/_Fix_Green.mpg	Gen/_Fix_Red.mpg	1761	8	8	1
39.581	5.6	7	FixY	Gen/_Fix_Red.mpg	Gen/_Fix_Red.mpg	2386	7	7	1
45.181	5.582	1	HS	chocolate.mpg	island.mpg	1866	7	7	1
50.763	6.6	3	Diff	improve.mpg	help.mpg	2644	8	8	1
57.363	5.599	6	PercN	shoulders2.mpg	hair2.mpg	1845	8	8	1
62.962	6.082	2	Loc	wolf2.mpg	white2.mpg	2133	7	7	1
69.044	6.083	3	Diff	gang.mpg	religion.mpg	2019	7	8	0
75.127	5.599	3	Diff	believe2.mpg	rock2.mpg	2368	8	8	1
80.726	6.099	3	Diff	cat2.mpg	clown2.mpg	2025	8	8	1
86.825	6.599	1	HS	potato.mpg	church.mpg	2374	7	7	1
93.424	6.083	7	FixY	Gen/_Fix_Green.mpg	Gen/_Fix_Green.mpg	1679	7	7	1
99.507	6.099	2	Loc	fine.mpg	mother.mpg	2636	7	7	1
105.606	6.616	5	PercY	hair.mpg	hair.mpg	1625	7	7	1
112.222	5.599	3	Diff	shy.mpg	twin.mpg	2169	8	8	1
117.821	6.083	6	PercN	nose.mpg	hair.mpg	2690	8	8	1
123.904	6.599	7	FixY	Gen/_Fix_Green.mpg	Gen/_Fix_Green.mpg	1903	7	7	1
130.503	5.599	1	HS	long2.mpg	sheep2.mpg	2072	8	7	0
136.102	5.6	3	Diff	kid.mpg	wonder.mpg	2065	8	8	1
141.702	6.082	8	FixN	Gen/_Fix_Red.mpg	Gen/_Fix_Green.mpg	1682	8	8	1
147.784	6.599	5	PercY	hair2.mpg	hair2.mpg	2063	7	7	1
154.383	5.6	7	FixY	Gen/_Fix_Red.mpg	Gen/_Fix_Red.mpg	2672	7	7	1
159.983	5.599	5	PercY	shoulders2.mpg	shoulders2.mpg	2041	7	7	1
165.582	6.082	3	Diff	understand.mpg	guess.mpg	2538	8	8	1
171.664	6.6	2	Loc	houston.mpg	uncle.mpg	1759	8	7	0
178.264	6.599	3	Diff	tired2.mpg	charge-card2.mpg	2104	8	8	1
184.863	6.599	6	PercN	hair2.mpg	nose2.mpg	1840	8	8	1
191.462	6.566	8	FixN	Gen/_Fix_Green.mpg	Gen/_Fix_Red.mpg	1538	8	8	1
198.028	6.099	5	PercY	nose.mpg	nose.mpg	2347	7	7	1
204.127	6.099	7	FixY	Gen/_Fix_Green.mpg	Gen/_Fix_Green.mpg	1872	7	7	1
210.226	6.099	5	PercY	nose2.mpg	nose2.mpg	1693	7	7	1
216.325	5.583	8	FixN	Gen/_Fix_Red.mpg	Gen/_Fix_Green.mpg	1714	8	8	1
221.908	6.099	6	PercN	nose2.mpg	shoulders2.mpg	2107	8	8	1
228.007	5.599	6	PercN	shoulders.mpg	nose.mpg	2344	8	8	1
233.606	5.616	3	Diff	hearing2.mpg	puzzled2.mpg	2161	8	8	1
239.222	5.583	5	PercY	shoulders.mpg	shoulders.mpg	2321	7	7	1
244.805	6.599	6	PercN	hair.mpg	shoulders.mpg	2354	8	8	1
251.404	6.1	1	HS	thank.mpg	tell.mpg	2419	8	7	0
257.504	6.099	8	FixN	Gen/_Fix_Green.mpg	Gen/_Fix_Red.mpg	1616	8	8	1
263.603	6.583	3	Diff	europe2.mpg	grass2.mpg	2485	8	8	1
270.186	6.598	1	HS	last2.mpg	can't2.mpg	2614	8	7	0
276.784	5.6	2	Loc	boss2.mpg	complain2.mpg	2455	7	7	1
282.384	6.099	1	HS	spider2.mpg	slave2.mpg	2712	8	7	0
288.483	5.116	2	Loc	not-know.mpg	bad.mpg	3229	7	7	1
