onset	duration	trial_type	trial_name	prime_stim	targ_stim	response_time	resp	cresp	acc
1.496	6.6	1	Onset	GemM2.mpg	JetM1.mpg	2176	7	7	1
8.096	6.116	2	Offset	DimF2.mpg	HimF1.mpg	2529	7	7	1
14.212	5.599	3	Diff	TapM2.mpg	HisM2.mpg	2165	7	8	0
19.811	5.599	3	Diff	HotF1.mpg	RagF1.mpg	1877	8	8	1
25.41	5.633	3	Diff	FatM2.mpg	JobM2.mpg	2510	8	8	1
31.043	6.099	5	PercY	CheeksM1.mpg	CheeksM1.mpg	1973	7	7	1
37.142	5.599	2	Offset	DamM1.mpg	HamM2.mpg	2002	8	7	0
42.741	5.6	1	Onset	PigM2.mpg	PinM2.mpg	1715	7	7	1
48.341	5.615	2	Offset	KidF1.mpg	LidF1.mpg	2491	7	7	1
53.956	6.6	3	Diff	HitM2.mpg	CapM2.mpg	2372	7	8	0
60.556	6.099	6	PercN	CheeksF1.mpg	TongueF1.mpg	2253	8	8	1
66.655	6.116	2	Offset	GodM2.mpg	NodM2.mpg	2089	7	7	1
72.771	6.599	7	FixY	Gen/_Fix_Green.mpg	Gen/_Fix_Green.mpg	1949	7	7	1
79.37	5.599	7	FixY	Gen/_Fix_Red.mpg	Gen/_Fix_Red.mpg	2774	7	7	1
84.969	5.616	5	PercY	TongueM2.mpg	TongueM2.mpg	1711	7	7	1
90.585	5.599	6	PercN	TeethF1.mpg	CheeksF1.mpg	2215	8	8	1
96.184	5.6	1	Onset	MudF1.mpg	MugF2.mpg	1904	7	7	1
101.784	6.116	3	Diff	GasF1.mpg	PopF2.mpg	1849	8	8	1
107.9	6.099	8	FixN	Gen/_Fix_Green.mpg	Gen/_Fix_Red.mpg	1645	8	8	1
113.999	5.582	5	PercY	TeethF1.mpg	TeethF1.mpg	2274	7	7	1
119.581	6.116	3	Diff	SetM2.mpg	JamM2.mpg	2893	8	8	1
125.697	6.099	6	PercN	CheeksM1.mpg	TeethM1.mpg	2375	8	8	1
131.796	5.6	8	FixN	Gen/_Fix_Green.mpg	Gen/_Fix_Red.mpg	2628	8	8	1
137.396	6.116	7	FixY	Gen/_Fix_Red.mpg	Gen/_Fix_Red.mpg	2277	7	7	1
143.512	6.599	6	PercN	TeethM1.mpg	TongueM2.mpg	2201	8	8	1
150.111	6.599	3	Diff	PutM2.mpg	LogM2.mpg	3537	8	8	1
156.71	6.632	5	PercY	TongueF1.mpg	TongueF1.mpg	2178	7	7	1
163.342	6.6	8	FixN	Gen/_Fix_Red.mpg	Gen/_Fix_Green.mpg	2298	8	8	1
169.942	5.599	7	FixY	Gen/_Fix_Green.mpg	Gen/_Fix_Green.mpg	2563	7	7	1
175.541	6.116	3	Diff	HatM2.mpg	PubM2.mpg	2051	8	8	1
181.657	5.599	6	PercN	TongueM2.mpg	CheeksM1.mpg	1847	8	8	1
187.256	6.099	1	Onset	RapF1.mpg	RatF1.mpg	1832	7	7	1
193.355	6.116	7	FixY	Gen/_Fix_Red.mpg	Gen/_Fix_Red.mpg	1877	7	7	1
199.471	6.599	3	Diff	JigF1.mpg	PutF1.mpg	2073	8	8	1
206.07	5.6	3	Diff	FunF1.mpg	LipF1.mpg	2378	8	8	1
211.67	6.115	1	Onset	BigM2.mpg	BidM2.mpg	1939	7	7	1
217.785	6.1	5	PercY	CheeksF1.mpg	CheeksF1.mpg	2255	7	7	1
223.885	5.599	8	FixN	Gen/_Fix_Red.mpg	Gen/_Fix_Green.mpg	1628	8	8	1
229.484	6.616	2	Offset	GapM2.mpg	LapM2.mpg	2436	7	7	1
236.1	6.599	2	Offset	CanF1.mpg	PanF1.mpg	1860	7	7	1
242.699	6.082	8	FixN	Gen/_Fix_Red.mpg	Gen/_Fix_Green.mpg	2341	8	8	1
248.781	6.116	3	Diff	MenF1.mpg	CupF2.mpg	2739	8	8	1
254.897	6.599	7	FixY	Gen/_Fix_Green.mpg	Gen/_Fix_Green.mpg	2255	7	7	1
261.496	6.6	8	FixN	Gen/_Fix_Green.mpg	Gen/_Fix_Red.mpg	1928	8	8	1
268.096	6.615	3	Diff	LogF1.mpg	HatF1.mpg	2857	8	8	1
274.711	6.6	1	Onset	SumF1.mpg	SonF1.mpg	3433	7	7	1
281.311	6.599	6	PercN	TongueF1.mpg	TeethF1.mpg	1898	8	8	1
287.91	6.166	5	PercY	TeethM1.mpg	TeethM1.mpg	3058	7	7	1
