onset	duration	trial_type	trial_name	prime_stim	targ_stim	response_time	resp	cresp	acc
1.518	6.582	8	FixN	Gen/_Fix_Green.mpg	Gen/_Fix_Red.mpg	1723	8	8	1
8.1	6.1	1	HS	home.mpg	deaf.mpg	2884	7	7	1
14.2	6.099	5	PercY	nose.mpg	nose.mpg	1745	7	7	1
20.299	6.599	3	Diff	hear.mpg	because.mpg	2197	8	8	1
26.898	5.583	2	Loc	nut.mpg	not.mpg	1935	7	7	1
32.481	5.599	7	FixY	Gen/_Fix_Red.mpg	Gen/_Fix_Red.mpg	1896	7	7	1
38.08	6.099	3	Diff	address2.mpg	bone2.mpg	1872	8	8	1
44.179	6.599	2	Loc	funny.mpg	cute.mpg	1941	7	7	1
50.778	6.066	6	PercN	nose2.mpg	shoulders2.mpg	2375	8	8	1
56.844	6.099	1	HS	challenge2.mpg	meet2.mpg	2284	7	7	1
62.943	6.099	7	FixY	Gen/_Fix_Green.mpg	Gen/_Fix_Green.mpg	1641	7	7	1
69.042	5.583	8	FixN	Gen/_Fix_Red.mpg	Gen/_Fix_Green.mpg	2022	8	8	1
74.625	6.099	7	FixY	Gen/_Fix_Red.mpg	Gen/_Fix_Red.mpg	2591	7	7	1
80.724	6.599	3	Diff	bored.mpg	experience.mpg	2380	8	8	1
87.323	5.6	5	PercY	shoulders.mpg	shoulders.mpg	1981	7	7	1
92.923	6.099	3	Diff	hour2.mpg	cracker2.mpg	2373	8	8	1
99.022	6.099	3	Diff	snob.mpg	aunt.mpg	1802	8	8	1
105.121	5.6	6	PercN	shoulders2.mpg	hair2.mpg	1927	7	8	0
110.721	5.599	3	Diff	encourage2.mpg	president2.mpg	3216	8	8	1
116.32	5.582	6	PercN	shoulders.mpg	nose.mpg	2272	8	8	1
121.902	6.1	3	Diff	mouse.mpg	dentist.mpg	2858	8	8	1
128.002	5.599	3	Diff	doctor.mpg	children.mpg	2550	8	8	1
133.601	6.599	7	FixY	Gen/_Fix_Green.mpg	Gen/_Fix_Green.mpg	2735	7	7	1
140.2	6.583	5	PercY	hair2.mpg	hair2.mpg	1680	7	7	1
146.783	5.599	1	HS	meat2.mpg	earth2.mpg	2402	7	7	1
152.382	6.599	1	HS	dry2.mpg	experienced2.mpg	2226	7	7	1
158.981	6.099	2	Loc	mad.mpg	tiger.mpg	2075	8	7	0
165.08	6.083	5	PercY	nose2.mpg	nose2.mpg	2032	7	7	1
171.163	5.599	5	PercY	shoulders2.mpg	shoulders2.mpg	2053	7	7	1
176.762	6.099	8	FixN	Gen/_Fix_Green.mpg	Gen/_Fix_Red.mpg	1830	8	8	1
182.861	5.583	2	Loc	sock2.mpg	star2.mpg	2316	7	7	1
188.444	5.582	8	FixN	Gen/_Fix_Red.mpg	Gen/_Fix_Green.mpg	2124	8	8	1
194.026	6.6	1	HS	convince.mpg	hit.mpg	2294	7	7	1
200.626	6.099	6	PercN	nose.mpg	hair.mpg	2871	8	8	1
206.725	6.599	2	Loc	general2.mpg	open-minded2.mpg	1907	7	7	1
213.324	6.582	3	Diff	upset2.mpg	angry-mad2.mpg	2372	8	8	1
219.906	6.6	3	Diff	surprise2.mpg	flower2.mpg	2006	8	8	1
226.506	6.615	5	PercY	hair.mpg	hair.mpg	2102	7	7	1
233.121	6.6	6	PercN	hair2.mpg	nose2.mpg	2183	8	8	1
239.721	6.582	7	FixY	Gen/_Fix_Red.mpg	Gen/_Fix_Red.mpg	1816	7	7	1
246.303	6.099	8	FixN	Gen/_Fix_Green.mpg	Gen/_Fix_Red.mpg	1937	8	8	1
252.402	5.6	1	HS	contact.mpg	game.mpg	2310	7	7	1
258.002	5.599	3	Diff	newspaper.mpg	wood.mpg	2103	8	8	1
263.601	5.583	7	FixY	Gen/_Fix_Green.mpg	Gen/_Fix_Green.mpg	1879	7	7	1
269.184	5.599	3	Diff	know2.mpg	look-for2.mpg	2425	8	8	1
274.783	6.599	8	FixN	Gen/_Fix_Red.mpg	Gen/_Fix_Green.mpg	1873	8	8	1
281.382	6.599	6	PercN	hair.mpg	shoulders.mpg	2746	8	8	1
287.981	5.616	2	Loc	summer2.mpg	ugly2.mpg	1963	7	7	1
