onset	duration	trial_type	trial_name	prime_stim	targ_stim	response_time	resp	cresp	acc
1.517	6.583	7	FixY	Gen/_Fix_Red.mpg	Gen/_Fix_Red.mpg	1627	7	7	1
8.1	6.599	2	Loc	year2.mpg	bicycle2.mpg	2404	7	7	1
14.699	5.599	8	FixN	Gen/_Fix_Red.mpg	Gen/_Fix_Green.mpg	1709	8	8	1
20.298	6.1	3	Diff	lipstick2.mpg	boy2.mpg	2606	8	8	1
26.398	6.582	3	Diff	war.mpg	family.mpg	2043	7	8	0
32.98	6.599	8	FixN	Gen/_Fix_Green.mpg	Gen/_Fix_Red.mpg	1612	8	8	1
39.579	5.6	7	FixY	Gen/_Fix_Red.mpg	Gen/_Fix_Red.mpg	1853	7	7	1
45.179	5.599	1	HS	chocolate.mpg	island.mpg	2030	7	7	1
50.778	6.582	3	Diff	improve.mpg	help.mpg	2191	8	8	1
57.36	5.6	6	PercN	shoulders2.mpg	hair2.mpg	1792	8	8	1
62.96	6.099	2	Loc	wolf2.mpg	white2.mpg	2161	7	7	1
69.059	6.116	3	Diff	gang.mpg	religion.mpg	2709	8	8	1
75.175	5.582	3	Diff	believe2.mpg	rock2.mpg	2362	8	8	1
80.757	6.083	3	Diff	cat2.mpg	clown2.mpg	3155	8	8	1
86.84	6.599	1	HS	potato.mpg	church.mpg	1904	7	7	1
93.439	6.099	7	FixY	Gen/_Fix_Green.mpg	Gen/_Fix_Green.mpg	1385	7	7	1
99.538	6.083	2	Loc	fine.mpg	mother.mpg	2039	7	7	1
105.621	6.599	5	PercY	hair.mpg	hair.mpg	1835	7	7	1
112.22	5.599	3	Diff	shy.mpg	twin.mpg	2052	8	8	1
117.819	6.099	6	PercN	nose.mpg	hair.mpg	2229	8	8	1
123.918	6.583	7	FixY	Gen/_Fix_Green.mpg	Gen/_Fix_Green.mpg	3610	7	7	1
130.501	5.599	1	HS	long2.mpg	sheep2.mpg	3251	7	7	1
136.1	5.599	3	Diff	kid.mpg	wonder.mpg	1764	8	8	1
141.699	6.083	8	FixN	Gen/_Fix_Red.mpg	Gen/_Fix_Green.mpg	3013	8	8	1
147.782	6.599	5	PercY	hair2.mpg	hair2.mpg	1786	7	7	1
154.381	5.599	7	FixY	Gen/_Fix_Red.mpg	Gen/_Fix_Red.mpg	1579	8	7	0
159.98	5.6	5	PercY	shoulders2.mpg	shoulders2.mpg	1812	7	7	1
165.58	6.082	3	Diff	understand.mpg	guess.mpg	2316	8	8	1
171.662	6.599	2	Loc	houston.mpg	uncle.mpg	2082	8	7	0
178.261	6.6	3	Diff	tired2.mpg	charge-card2.mpg	2051	8	8	1
184.861	6.599	6	PercN	hair2.mpg	nose2.mpg	1660	8	8	1
191.46	6.582	8	FixN	Gen/_Fix_Green.mpg	Gen/_Fix_Red.mpg	4698	n/a	8	n/a
198.042	6.116	5	PercY	nose.mpg	nose.mpg	1798	7	7	1
204.158	6.099	7	FixY	Gen/_Fix_Green.mpg	Gen/_Fix_Green.mpg	4198	n/a	7	n/a
210.257	6.083	5	PercY	nose2.mpg	nose2.mpg	2031	7	7	1
216.34	5.582	8	FixN	Gen/_Fix_Red.mpg	Gen/_Fix_Green.mpg	1196	8	8	1
221.922	6.1	6	PercN	nose2.mpg	shoulders2.mpg	1934	8	8	1
228.022	5.599	6	PercN	shoulders.mpg	nose.mpg	1747	8	8	1
233.621	5.599	3	Diff	hearing2.mpg	puzzled2.mpg	2403	8	8	1
239.22	5.583	5	PercY	shoulders.mpg	shoulders.mpg	1996	7	7	1
244.803	6.599	6	PercN	hair.mpg	shoulders.mpg	2629	8	8	1
251.402	6.099	1	HS	thank.mpg	tell.mpg	1846	7	7	1
257.501	6.099	8	FixN	Gen/_Fix_Green.mpg	Gen/_Fix_Red.mpg	4198	n/a	8	n/a
263.6	6.583	3	Diff	europe2.mpg	grass2.mpg	4698	n/a	8	n/a
270.183	6.599	1	HS	last2.mpg	can't2.mpg	4129	8	7	0
276.782	5.599	2	Loc	boss2.mpg	complain2.mpg	3698	n/a	7	n/a
282.381	6.1	1	HS	spider2.mpg	slave2.mpg	4198	n/a	7	n/a
288.481	5.116	2	Loc	not-know.mpg	bad.mpg	n/a	n/a	7	n/a
