onset	duration	trial_type	trial_name	prime_stim	targ_stim	response_time	resp	cresp	acc
1.498	5.806	6	PercN	_F3_f4.bmp	_F2_d4.bmp	1301	8	8	1
7.304	5.789	2	OnPy	T3_fall.bmp	T1_crawl.bmp	3383	8	7	0
13.093	4.805	4	OnPn	T3_gross.bmp	T1_post.bmp	2738	7	8	0
17.898	4.805	2	OnPy	T3_tense.bmp	T0_fence.bmp	2989	7	7	1
22.703	5.305	2	OnPy	T3_soup.bmp	T1_loop.bmp	1952	7	7	1
28.008	5.305	6	PercN	_F3_e4.bmp	_F0_s4.bmp	1191	8	8	1
33.313	4.805	6	PercN	_F3_b4.bmp	_F0_f4.bmp	1470	8	8	1
38.118	5.306	4	OnPn	T3_pool.bmp	T2_tooth.bmp	1337	8	8	1
43.424	5.789	4	OnPn	T3_both.bmp	T2_stroke.bmp	1927	8	8	1
49.213	4.804	1	OyPy	T3_quart.bmp	T1_wart.bmp	2890	7	7	1
54.017	5.306	7	FixY	Gen/_Fix_Red.bmp	Gen/_Fix_Red.bmp	1654	7	7	1
59.323	5.305	5	PercY	_F3_d4.bmp	_F0_d4.bmp	1228	7	7	1
64.628	5.806	5	PercY	_F3_e4.bmp	_F2_e4.bmp	1443	7	7	1
70.434	4.805	3	OyPn	T3_smooth.bmp	T0_tooth.bmp	2781	7	8	0
75.239	4.788	2	OnPy	T3_stool.bmp	T1_rule.bmp	2176	8	7	0
80.027	5.305	8	FixN	Gen/_Fix_Red.bmp	Gen/_Fix_Green.bmp	716	8	8	1
85.332	5.305	4	OnPn	T3_flight.bmp	T0_threat.bmp	3427	8	8	1
90.637	5.306	2	OnPy	T3_bluff.bmp	T2_tough.bmp	2130	8	7	0
95.943	5.805	6	PercN	_F3_s4.bmp	_F1_e4.bmp	1264	8	8	1
101.748	5.806	2	OnPy	T3_halt.bmp	T0_fault.bmp	1274	8	7	0
107.554	4.805	4	OnPn	T3_dried.bmp	T1_stood.bmp	1780	7	8	0
112.359	4.788	1	OyPy	T3_brow.bmp	T2_cow.bmp	1585	7	7	1
117.147	5.806	1	OyPy	T3_goat.bmp	T1_float.bmp	3324	7	7	1
122.953	4.805	1	OyPy	T3_glide.bmp	T2_bride.bmp	1278	7	7	1
127.758	5.305	7	FixY	Gen/_Fix_Red.bmp	Gen/_Fix_Red.bmp	1569	7	7	1
133.063	4.805	8	FixN	Gen/_Fix_Red.bmp	Gen/_Fix_Green.bmp	1864	8	8	1
137.868	5.806	3	OyPn	T3_plead.bmp	T2_spread.bmp	1467	8	8	1
143.674	4.788	5	PercY	_F3_d6.bmp	_F1_d6.bmp	1398	7	7	1
148.462	5.305	2	OnPy	T3_roast.bmp	T2_ghost.bmp	2833	7	7	1
153.767	4.805	5	PercY	_F3_e6.bmp	_F2_e6.bmp	1336	7	7	1
158.572	5.806	8	FixN	Gen/_Fix_Red.bmp	Gen/_Fix_Green.bmp	1723	8	8	1
164.378	5.806	2	OnPy	T3_odd.bmp	T0_rod.bmp	1509	7	7	1
170.184	5.305	1	OyPy	T3_spoon.bmp	T1_noon.bmp	1999	7	7	1
175.489	5.789	7	FixY	Gen/_Fix_Green.bmp	Gen/_Fix_Green.bmp	1486	7	7	1
181.278	4.805	7	FixY	Gen/_Fix_Green.bmp	Gen/_Fix_Green.bmp	1457	7	7	1
186.083	4.805	7	FixY	Gen/_Fix_Red.bmp	Gen/_Fix_Red.bmp	2412	7	7	1
190.888	5.805	8	FixN	Gen/_Fix_Green.bmp	Gen/_Fix_Red.bmp	1199	8	8	1
196.693	4.805	3	OyPn	T3_breath.bmp	T0_wreath.bmp	2330	7	8	0
201.498	5.305	1	OyPy	T3_neat.bmp	T2_wheat.bmp	1773	7	7	1
206.803	5.79	3	OyPn	T3_mouth.bmp	T1_youth.bmp	1635	8	8	1
212.593	5.805	1	OyPy	T3_toss.bmp	T0_moss.bmp	1926	7	7	1
218.398	5.306	5	PercY	_F3_f6.bmp	_F1_f6.bmp	1521	7	7	1
223.704	5.806	4	OnPn	T3_rule.bmp	T0_blur.bmp	1287	8	8	1
229.51	5.305	3	OyPn	T3_tomb.bmp	T2_comb.bmp	1129	7	8	0
234.815	5.806	5	PercY	_F3_o6.bmp	_F0_o6.bmp	1312	7	7	1
240.621	4.804	4	OnPn	T3_june.bmp	T1_loop.bmp	1242	8	8	1
245.425	5.289	2	OnPy	T3_warm.bmp	T2_form.bmp	1430	7	7	1
250.714	5.305	4	OnPn	T3_rum.bmp	T2_touch.bmp	1549	8	8	1
