onset	duration	trial_type	trial_name	prime_stim	targ_stim	response_time	resp	cresp	acc
1.507	6.616	1	Onset	GemM2.mpg	JetM1.mpg	2245	8	7	0
8.123	6.099	2	Offset	DimF2.mpg	HimF1.mpg	2310	7	7	1
14.222	5.599	3	Diff	TapM2.mpg	HisM2.mpg	1938	7	8	0
19.821	5.616	3	Diff	HotF1.mpg	RagF1.mpg	2171	8	8	1
25.437	5.599	3	Diff	FatM2.mpg	JobM2.mpg	2667	8	8	1
31.036	6.099	5	PercY	CheeksM1.mpg	CheeksM1.mpg	1804	7	7	1
37.135	5.616	2	Offset	DamM1.mpg	HamM2.mpg	2537	8	7	0
42.751	5.6	1	Onset	PigM2.mpg	PinM2.mpg	2289	7	7	1
48.351	5.582	2	Offset	KidF1.mpg	LidF1.mpg	1762	8	7	0
53.933	6.599	3	Diff	HitM2.mpg	CapM2.mpg	2299	8	8	1
60.532	6.116	6	PercN	CheeksF1.mpg	TongueF1.mpg	1955	8	8	1
66.648	6.099	2	Offset	GodM2.mpg	NodM2.mpg	2368	7	7	1
72.747	6.616	7	FixY	Gen/_Fix_Green.mpg	Gen/_Fix_Green.mpg	1629	7	7	1
79.363	5.599	7	FixY	Gen/_Fix_Red.mpg	Gen/_Fix_Red.mpg	1533	7	7	1
84.962	5.6	5	PercY	TongueM2.mpg	TongueM2.mpg	2246	7	7	1
90.562	5.616	6	PercN	TeethF1.mpg	CheeksF1.mpg	2350	8	8	1
96.178	5.616	1	Onset	MudF1.mpg	MugF2.mpg	2710	7	7	1
101.794	6.099	3	Diff	GasF1.mpg	PopF2.mpg	2535	8	8	1
107.893	6.099	8	FixN	Gen/_Fix_Green.mpg	Gen/_Fix_Red.mpg	1843	8	8	1
113.992	5.616	5	PercY	TeethF1.mpg	TeethF1.mpg	3136	7	7	1
119.608	6.099	3	Diff	SetM2.mpg	JamM2.mpg	2656	8	8	1
125.707	6.099	6	PercN	CheeksM1.mpg	TeethM1.mpg	1829	8	8	1
131.806	5.616	8	FixN	Gen/_Fix_Green.mpg	Gen/_Fix_Red.mpg	2778	8	8	1
137.422	6.1	7	FixY	Gen/_Fix_Red.mpg	Gen/_Fix_Red.mpg	1714	7	7	1
143.522	6.599	6	PercN	TeethM1.mpg	TongueM2.mpg	2111	8	8	1
150.121	6.616	3	Diff	PutM2.mpg	LogM2.mpg	2983	7	8	0
156.737	6.599	5	PercY	TongueF1.mpg	TongueF1.mpg	1744	7	7	1
163.336	6.599	8	FixN	Gen/_Fix_Red.mpg	Gen/_Fix_Green.mpg	1543	8	8	1
169.935	5.616	7	FixY	Gen/_Fix_Green.mpg	Gen/_Fix_Green.mpg	1824	7	7	1
175.551	6.082	3	Diff	HatM2.mpg	PubM2.mpg	1977	8	8	1
181.633	5.599	6	PercN	TongueM2.mpg	CheeksM1.mpg	3127	8	8	1
187.232	6.116	1	Onset	RapF1.mpg	RatF1.mpg	2736	7	7	1
193.348	6.1	7	FixY	Gen/_Fix_Red.mpg	Gen/_Fix_Red.mpg	1555	7	7	1
199.448	6.599	3	Diff	JigF1.mpg	PutF1.mpg	3073	8	8	1
206.047	5.616	3	Diff	FunF1.mpg	LipF1.mpg	2856	8	8	1
211.663	6.099	1	Onset	BigM2.mpg	BidM2.mpg	1553	7	7	1
217.762	6.116	5	PercY	CheeksF1.mpg	CheeksF1.mpg	2957	7	7	1
223.878	5.616	8	FixN	Gen/_Fix_Red.mpg	Gen/_Fix_Green.mpg	2073	8	8	1
229.494	6.599	2	Offset	GapM2.mpg	LapM2.mpg	2137	7	7	1
236.093	6.599	2	Offset	CanF1.mpg	PanF1.mpg	2530	7	7	1
242.692	6.116	8	FixN	Gen/_Fix_Red.mpg	Gen/_Fix_Green.mpg	1827	8	8	1
248.808	6.099	3	Diff	MenF1.mpg	CupF2.mpg	3071	8	8	1
254.907	6.599	7	FixY	Gen/_Fix_Green.mpg	Gen/_Fix_Green.mpg	1820	7	7	1
261.506	6.616	8	FixN	Gen/_Fix_Green.mpg	Gen/_Fix_Red.mpg	1821	8	8	1
268.122	6.599	3	Diff	LogF1.mpg	HatF1.mpg	3533	8	8	1
274.721	6.599	1	Onset	SumF1.mpg	SonF1.mpg	2710	8	7	0
281.32	6.616	6	PercN	TongueF1.mpg	TeethF1.mpg	1719	8	8	1
287.936	6.133	5	PercY	TeethM1.mpg	TeethM1.mpg	1559	7	7	1
