onset	duration	trial_type	trial_name	prime_stim	targ_stim	response_time	resp	cresp	acc
1.517	4.799	3	OyPn	T3_post.bmp	T1_cost.bmp	2219	8	8	1
6.316	5.299	5	PercY	_F3_o4.bmp	_F2_o4.bmp	1268	7	7	1
11.615	4.8	2	OnPy	T3_rum.bmp	T1_numb.bmp	1361	7	7	1
16.415	5.799	7	FixY	Gen/_Fix_Green.bmp	Gen/_Fix_Green.bmp	1105	7	7	1
22.214	4.816	6	PercN	_F3_s6.bmp	_F0_e6.bmp	1370	8	8	1
27.03	4.8	1	OyPy	T3_fought.bmp	T1_sought.bmp	1378	7	7	1
31.83	4.799	1	OyPy	T3_scheme.bmp	T2_theme.bmp	1827	7	7	1
36.629	4.799	5	PercY	_F3_f4.bmp	_F0_f4.bmp	1203	7	7	1
41.428	5.3	1	OyPy	T3_stool.bmp	T0_fool.bmp	1292	8	7	0
46.728	5.299	1	OyPy	T3_soak.bmp	T0_oak.bmp	1257	7	7	1
52.027	5.316	3	OyPn	T3_threat.bmp	T1_wheat.bmp	1653	8	8	1
57.343	4.799	1	OyPy	T3_thread.bmp	T0_spread.bmp	1169	7	7	1
62.142	5.8	2	OnPy	T3_pile.bmp	T1_trial.bmp	2178	7	7	1
67.942	5.799	4	OnPn	T3_swap.bmp	T2_watch.bmp	1827	8	8	1
73.741	5.799	8	FixN	Gen/_Fix_Green.bmp	Gen/_Fix_Red.bmp	2586	8	8	1
79.54	5.316	4	OnPn	T3_tough.bmp	T1_dull.bmp	1363	8	8	1
84.856	5.799	6	PercN	_F3_o4.bmp	_F2_b4.bmp	1760	8	8	1
90.655	5.8	1	OyPy	T3_sweep.bmp	T0_creep.bmp	1393	7	7	1
96.455	5.799	6	PercN	_F3_d6.bmp	_F1_o6.bmp	2218	7	8	0
102.254	4.799	8	FixN	Gen/_Fix_Green.bmp	Gen/_Fix_Red.bmp	1722	8	8	1
107.053	4.816	2	OnPy	T3_stroke.bmp	T1_soak.bmp	1699	7	7	1
111.869	5.3	4	OnPn	T3_trial.bmp	T0_fall.bmp	1483	8	8	1
117.169	5.815	5	PercY	_F3_s6.bmp	_F0_s6.bmp	1392	7	7	1
122.984	4.8	7	FixY	Gen/_Fix_Green.bmp	Gen/_Fix_Green.bmp	1392	7	7	1
127.784	4.783	8	FixN	Gen/_Fix_Red.bmp	Gen/_Fix_Green.bmp	1223	8	8	1
132.567	5.299	7	FixY	Gen/_Fix_Red.bmp	Gen/_Fix_Red.bmp	1354	7	7	1
137.866	4.816	1	OyPy	T3_beef.bmp	T1_reef.bmp	2942	7	7	1
142.682	5.799	3	OyPn	T3_wart.bmp	T1_smart.bmp	3894	8	8	1
148.481	5.799	3	OyPn	T3_dose.bmp	T0_pose.bmp	4303	NA	8	NA
154.28	4.8	3	OyPn	T3_touch.bmp	T1_couch.bmp	3184	8	8	1
159.08	4.799	6	PercN	_F3_e6.bmp	_F0_s6.bmp	1280	8	8	1
163.879	5.816	8	FixN	Gen/_Fix_Green.bmp	Gen/_Fix_Red.bmp	2688	8	8	1
169.695	5.799	7	FixY	Gen/_Fix_Green.bmp	Gen/_Fix_Green.bmp	1233	7	7	1
175.494	5.3	8	FixN	Gen/_Fix_Red.bmp	Gen/_Fix_Green.bmp	1793	8	8	1
180.794	4.799	7	FixY	Gen/_Fix_Red.bmp	Gen/_Fix_Red.bmp	1894	8	7	0
185.593	5.299	4	OnPn	T3_port.bmp	T1_warm.bmp	2207	8	8	1
190.892	5.8	2	OnPy	T3_june.bmp	T2_noon.bmp	3460	7	7	1
196.692	4.816	4	OnPn	T3_wreath.bmp	T0_leap.bmp	2084	8	8	1
201.508	4.799	5	PercY	_F3_b6.bmp	_F2_b6.bmp	1404	7	7	1
206.307	5.299	3	OyPn	T3_glove.bmp	T0_stove.bmp	2949	8	8	1
211.606	5.8	1	OyPy	T3_numb.bmp	T1_crumb.bmp	1305	7	7	1
217.406	4.799	3	OyPn	T3_stood.bmp	T2_flood.bmp	3302	NA	8	NA
222.205	5.316	5	PercY	_F3_s4.bmp	_F1_s4.bmp	3802	NA	7	NA
227.521	5.799	4	OnPn	T3_smart.bmp	T1_drought.bmp	2471	8	8	1
233.32	5.3	2	OnPy	T3_stir.bmp	T2_blur.bmp	3817	8	7	0
238.62	5.299	8	FixN	Gen/_Fix_Red.bmp	Gen/_Fix_Green.bmp	2060	8	8	1
