onset	duration	trial_type	trial_name	prime_stim	targ_stim	response_time	resp	cresp	acc
1.522	5.599	3	Diff	TopF1.mpg	MadF1.mpg	2038	7	8	0
7.121	5.6	8	FixN	Gen/_Fix_Green.mpg	Gen/_Fix_Red.mpg	1471	8	8	1
12.721	5.599	3	Diff	PadM1.mpg	TicM2.mpg	1767	8	8	1
18.32	6.099	2	Offset	BinF1.mpg	FinF1.mpg	1816	7	7	1
24.419	6.099	2	Offset	PenM2.mpg	TenM2.mpg	2165	8	7	0
30.518	6.616	3	Diff	MobM2.mpg	HisM2.mpg	2162	8	8	1
37.134	6.099	1	Onset	SacF1.mpg	SadF1.mpg	1714	7	7	1
43.233	6.6	5	PercY	TeethM1.mpg	TeethM1.mpg	1927	7	7	1
49.833	6.599	6	PercN	TeethM1.mpg	TongueM2.mpg	1952	8	8	1
56.432	6.599	6	PercN	TongueF1.mpg	TeethF1.mpg	2056	8	8	1
63.031	6.616	7	FixY	Gen/_Fix_Red.mpg	Gen/_Fix_Red.mpg	2081	7	7	1
69.647	6.099	7	FixY	Gen/_Fix_Red.mpg	Gen/_Fix_Red.mpg	2337	7	7	1
75.746	5.599	3	Diff	KitM1.mpg	HopM2.mpg	2014	8	8	1
81.345	6.599	2	Offset	BatF2.mpg	CatF1.mpg	2559	7	7	1
87.944	6.116	8	FixN	Gen/_Fix_Red.mpg	Gen/_Fix_Green.mpg	1504	8	8	1
94.06	5.6	6	PercN	TeethF1.mpg	CheeksF1.mpg	2188	8	8	1
99.66	6.599	3	Diff	SonF1.mpg	RipF1.mpg	1781	8	8	1
106.259	5.599	6	PercN	TongueM2.mpg	CheeksM1.mpg	1565	8	8	1
111.858	6.099	3	Diff	HadM2.mpg	MopM2.mpg	2286	8	8	1
117.957	6.633	7	FixY	Gen/_Fix_Green.mpg	Gen/_Fix_Green.mpg	1819	7	7	1
124.59	5.599	1	Onset	RugF2.mpg	RumF1.mpg	2306	7	7	1
130.189	6.099	3	Diff	JobF1.mpg	FatF1.mpg	1875	8	8	1
136.288	6.083	3	Diff	ZipF1.mpg	BunF1.mpg	1689	8	8	1
142.371	5.599	7	FixY	Gen/_Fix_Green.mpg	Gen/_Fix_Green.mpg	1557	7	7	1
147.97	6.616	2	Offset	DigM2.mpg	FigM2.mpg	1862	7	7	1
154.586	6.599	5	PercY	TongueF1.mpg	TongueF1.mpg	1742	7	7	1
161.185	5.599	5	PercY	TeethF1.mpg	TeethF1.mpg	1887	7	7	1
166.784	6.6	3	Diff	VanF1.mpg	DubF1.mpg	2376	7	8	0
173.384	6.599	3	Diff	HugM2.mpg	ZipM2.mpg	1897	8	8	1
179.983	6.116	8	FixN	Gen/_Fix_Green.mpg	Gen/_Fix_Red.mpg	1665	8	8	1
186.099	5.599	7	FixY	Gen/_Fix_Green.mpg	Gen/_Fix_Green.mpg	1566	7	7	1
191.698	6.599	1	Onset	PegF1.mpg	PetF1.mpg	2430	7	7	1
198.297	6.099	3	Diff	NunM2.mpg	PipM2.mpg	1791	8	8	1
204.396	6.616	8	FixN	Gen/_Fix_Red.mpg	Gen/_Fix_Green.mpg	1916	8	8	1
211.012	5.599	5	PercY	TongueM2.mpg	TongueM2.mpg	1636	7	7	1
216.611	5.6	2	Offset	DipF2.mpg	HipF1.mpg	1573	7	7	1
222.211	6.099	6	PercN	CheeksM1.mpg	TeethM1.mpg	1734	8	8	1
228.31	5.599	1	Onset	RibM2.mpg	RidM2.mpg	1698	8	7	0
233.909	6.599	8	FixN	Gen/_Fix_Green.mpg	Gen/_Fix_Red.mpg	2387	8	8	1
240.508	6.116	1	Onset	BudM2.mpg	BugM2.mpg	1660	7	7	1
246.624	5.616	3	Diff	BitF1.mpg	HugF1.mpg	1704	8	8	1
252.24	5.599	8	FixN	Gen/_Fix_Red.mpg	Gen/_Fix_Green.mpg	1480	8	8	1
257.839	6.6	1	Onset	RubM2.mpg	RunM2.mpg	2489	7	7	1
264.439	6.082	5	PercY	CheeksM1.mpg	CheeksM1.mpg	1554	7	7	1
270.521	6.116	7	FixY	Gen/_Fix_Red.mpg	Gen/_Fix_Red.mpg	1559	7	7	1
276.637	5.599	2	Offset	CabM2.mpg	TabM1.mpg	1955	7	7	1
282.236	6.1	5	PercY	CheeksF1.mpg	CheeksF1.mpg	1876	7	7	1
288.336	5.632	6	PercN	CheeksF1.mpg	TongueF1.mpg	1777	8	8	1
