onset	duration	trial_type	trial_name	prime_stim	targ_stim	response_time	resp	cresp	acc
1.507	5.3	3	UnrN	T3_system.bmp	T0_head.bmp	1368	8	8	1
6.807	5.799	2	LowY	T3_speak.bmp	T0_talk.bmp	1476	7	7	1
12.606	5.799	3	UnrN	T3_cobra.bmp	T1_slipper.bmp	1293	8	8	1
18.405	5.299	2	LowY	T3_distance.bmp	T2_mile.bmp	1502	7	7	1
23.704	5.3	8	FixN	Gen/_Fix_Red.bmp	Gen/_Fix_Green.bmp	1547	8	8	1
29.004	5.299	5	PercY	_F3_s4.bmp	_F2_s4.bmp	1391	7	7	1
34.303	5.299	3	UnrN	T3_chill.bmp	T0_hawk.bmp	1580	8	8	1
39.602	5.3	1	HighY	T3_thin.bmp	T0_fat.bmp	1393	7	7	1
44.902	5.299	1	HighY	T3_sketch.bmp	T0_draw.bmp	1669	7	7	1
50.201	5.299	7	FixY	Gen/_Fix_Red.bmp	Gen/_Fix_Red.bmp	1410	7	7	1
55.5	4.8	1	HighY	T3_dog.bmp	T2_cat.bmp	1495	7	7	1
60.3	4.799	2	LowY	T3_guide.bmp	T1_tour.bmp	1551	7	7	1
65.099	4.8	8	FixN	Gen/_Fix_Red.bmp	Gen/_Fix_Green.bmp	1576	8	8	1
69.899	5.799	3	UnrN	T3_adult.bmp	T0_pond.bmp	1553	8	8	1
75.698	5.799	7	FixY	Gen/_Fix_Green.bmp	Gen/_Fix_Green.bmp	1625	7	7	1
81.497	5.799	2	LowY	T3_reef.bmp	T0_coral.bmp	1522	7	7	1
87.296	5.8	5	PercY	_F3_e6.bmp	_F1_e6.bmp	1331	7	7	1
93.096	5.799	8	FixN	Gen/_Fix_Red.bmp	Gen/_Fix_Green.bmp	1492	8	8	1
98.895	4.799	1	HighY	T3_little.bmp	T1_big.bmp	1964	7	7	1
103.694	4.8	2	LowY	T3_motion.bmp	T1_movement.bmp	1245	7	7	1
108.494	4.816	3	UnrN	T3_hoof.bmp	T0_stitch.bmp	1533	8	8	1
113.31	5.799	2	LowY	T3_salad.bmp	T0_lettuce.bmp	1453	7	7	1
119.109	5.283	2	LowY	T3_lip.bmp	T1_kiss.bmp	1534	7	7	1
124.392	5.299	2	LowY	T3_shout.bmp	T1_yell.bmp	1579	7	7	1
129.691	5.299	1	HighY	T3_dime.bmp	T0_nickel.bmp	1368	7	7	1
134.99	5.3	5	PercY	_F3_o4.bmp	_F2_o4.bmp	1285	7	7	1
140.29	4.799	3	UnrN	T3_cream.bmp	T2_grip.bmp	1538	8	8	1
145.089	5.299	3	UnrN	T3_trust.bmp	T2_dozen.bmp	1314	8	8	1
150.388	4.8	3	UnrN	T3_sailing.bmp	T2_nest.bmp	1511	8	8	1
155.188	4.799	8	FixN	Gen/_Fix_Green.bmp	Gen/_Fix_Red.bmp	991	8	8	1
159.987	4.799	3	UnrN	T3_pigeon.bmp	T1_gamble.bmp	1224	8	8	1
164.786	4.8	2	LowY	T3_maple.bmp	T2_syrup.bmp	1417	7	7	1
169.586	5.799	2	LowY	T3_hop.bmp	T0_skip.bmp	1425	7	7	1
175.385	5.299	6	PercN	_F3_f6.bmp	_F1_d6.bmp	1466	8	8	1
180.684	4.8	6	PercN	_F3_d4.bmp	_F0_o4.bmp	1807	8	8	1
185.484	5.799	8	FixN	Gen/_Fix_Green.bmp	Gen/_Fix_Red.bmp	2087	8	8	1
191.283	5.799	3	UnrN	T3_blanket.bmp	T1_split.bmp	1608	8	8	1
197.082	4.8	1	HighY	T3_yours.bmp	T1_mine.bmp	1321	7	7	1
201.882	5.799	3	UnrN	T3_corn.bmp	T1_blame.bmp	1449	8	8	1
207.681	5.299	3	UnrN	T3_hunter.bmp	T2_lemon.bmp	1314	8	8	1
212.98	5.3	7	FixY	Gen/_Fix_Red.bmp	Gen/_Fix_Red.bmp	1423	7	7	1
218.28	4.799	6	PercN	_F3_b6.bmp	_F1_f6.bmp	1363	8	8	1
223.079	5.799	1	HighY	T3_prison.bmp	T2_jail.bmp	1292	7	7	1
228.878	4.783	2	LowY	T3_hoot.bmp	T2_owl.bmp	1413	7	7	1
233.661	5.299	6	PercN	_F3_f4.bmp	_F0_d4.bmp	1206	8	8	1
238.96	5.316	2	LowY	T3_water.bmp	T2_drink.bmp	1362	7	7	1
244.276	5.8	7	FixY	Gen/_Fix_Green.bmp	Gen/_Fix_Green.bmp	1391	7	7	1
250.076	4.782	1	HighY	T3_table.bmp	T0_chair.bmp	1400	7	7	1
254.858	5.3	8	FixN	Gen/_Fix_Green.bmp	Gen/_Fix_Red.bmp	1561	8	8	1
260.158	5.799	1	HighY	T3_vine.bmp	T2_grape.bmp	1213	7	7	1
265.957	5.799	1	HighY	T3_noun.bmp	T1_verb.bmp	1534	7	7	1
271.756	5.799	6	PercN	_F3_o4.bmp	_F2_b4.bmp	1711	8	8	1
277.555	4.8	7	FixY	Gen/_Fix_Red.bmp	Gen/_Fix_Red.bmp	1440	7	7	1
282.355	4.799	5	PercY	_F3_b6.bmp	_F0_b6.bmp	2016	7	7	1
287.154	5.799	1	HighY	T3_lend.bmp	T1_borrow.bmp	1585	7	7	1
292.953	4.8	7	FixY	Gen/_Fix_Green.bmp	Gen/_Fix_Green.bmp	1378	7	7	1
297.753	5.299	1	HighY	T3_silver.bmp	T2_gold.bmp	1210	7	7	1
303.052	5.799	5	PercY	_F3_d6.bmp	_F1_d6.bmp	1175	7	7	1
308.851	5.8	6	PercN	_F3_o6.bmp	_F2_b6.bmp	1368	8	8	1
314.651	4.332	5	PercY	_F3_d4.bmp	_F0_d4.bmp	1408	7	7	1
