participant_id	CORSI_span	CORSI_total
sub-1002	5	13
sub-1076	5	14
sub-1077	7	20
sub-1078	6	13
sub-1079	4	10
sub-1080	5	15
sub-1081	5	13
sub-1082	6	12
sub-1083	4	10
sub-1084	5	11
sub-1086	6	15
sub-1089	5	13
sub-1090	4	10
sub-1091	3	7
sub-1101	7	17
sub-1102	7	18
sub-1103	6	18
sub-1105	2	5
sub-1107	2	4
sub-1110	7	18
sub-1111	6	19
sub-1116	5	14
sub-1117	5	14
sub-1118	6	16
sub-1119	6	16
sub-1122	6	16
sub-1129	3	3
sub-1130	5	14
sub-1131	5	14
sub-1148	5	11
sub-1156	7	14
sub-1160	6	19
sub-1161	6	15
sub-1169	5	14
sub-1178	5	14
sub-1180	7	20
sub-1181	6	18
sub-1184	5	14
sub-1185	7	18
sub-1187	6	17
sub-1190	7	19
sub-1191	6	18
sub-1192	6	18
sub-1193	5	13
sub-1194	6	16
sub-1195	6	17
sub-1196	6	14
sub-1197	4	13
sub-1198	7	20
sub-1199	7	17
sub-1203	6	15
sub-1204	5	15
sub-1205	5	14
sub-1206	7	20
sub-1208	6	18
sub-1209	6	16
sub-1210	5	15
sub-1211	6	16
sub-1213	7	20
sub-1219	5	11
sub-1220	7	16
sub-1223	5	14
sub-1225	6	17
sub-1228	4	11
sub-1229	4	10
sub-1231	4	13
sub-1240	6	16
sub-1246	6	14
sub-1247	6	14
sub-1248	7	17
sub-1250	5	16
sub-1251	3	13
sub-1252	6	17
sub-1255	3	9
sub-1257	5	13
sub-1265	5	13
sub-1268	5	13
sub-1269	6	19
sub-1276	4	14
sub-1277	8	19
sub-1278	6	14
sub-1283	6	17
sub-1284	6	17
sub-1285	5	15
sub-1287	4	13
sub-1288	4	15
sub-1289	6	16
sub-1290	5	14
sub-1291	6	15
