onset	duration	trial_type	trial_name	prime_stim	targ_stim	response_time	resp	cresp	acc
1.513	5.299	3	UnrN	T3_system.bmp	T0_head.bmp	1107	8	8	1
6.812	5.799	2	LowY	T3_speak.bmp	T0_talk.bmp	1199	8	7	0
12.611	5.799	3	UnrN	T3_cobra.bmp	T1_slipper.bmp	1192	8	8	1
18.41	5.3	2	LowY	T3_distance.bmp	T2_mile.bmp	1129	8	7	0
23.71	5.299	8	FixN	Gen/_Fix_Red.bmp	Gen/_Fix_Green.bmp	1166	8	8	1
29.009	5.299	5	PercY	_F3_s4.bmp	_F2_s4.bmp	1202	7	7	1
34.308	5.3	3	UnrN	T3_chill.bmp	T0_hawk.bmp	1199	8	8	1
39.608	5.299	1	HighY	T3_thin.bmp	T0_fat.bmp	1204	8	7	0
44.907	5.299	1	HighY	T3_sketch.bmp	T0_draw.bmp	1320	8	7	0
50.206	5.316	7	FixY	Gen/_Fix_Red.bmp	Gen/_Fix_Red.bmp	1085	7	7	1
55.522	4.8	1	HighY	T3_dog.bmp	T2_cat.bmp	1281	8	7	0
60.322	4.799	2	LowY	T3_guide.bmp	T1_tour.bmp	1281	8	7	0
65.121	4.783	8	FixN	Gen/_Fix_Red.bmp	Gen/_Fix_Green.bmp	1147	8	8	1
69.904	5.799	3	UnrN	T3_adult.bmp	T0_pond.bmp	1235	8	8	1
75.703	5.799	7	FixY	Gen/_Fix_Green.bmp	Gen/_Fix_Green.bmp	1108	7	7	1
81.502	5.8	2	LowY	T3_reef.bmp	T0_coral.bmp	1165	8	7	0
87.302	5.799	5	PercY	_F3_e6.bmp	_F1_e6.bmp	1078	7	7	1
93.101	5.799	8	FixN	Gen/_Fix_Red.bmp	Gen/_Fix_Green.bmp	1102	8	8	1
98.9	4.799	1	HighY	T3_little.bmp	T1_big.bmp	1095	8	7	0
103.699	4.8	2	LowY	T3_motion.bmp	T1_movement.bmp	1256	8	7	0
108.499	4.799	3	UnrN	T3_hoof.bmp	T0_stitch.bmp	1152	8	8	1
113.298	5.799	2	LowY	T3_salad.bmp	T0_lettuce.bmp	1433	8	7	0
119.097	5.3	2	LowY	T3_lip.bmp	T1_kiss.bmp	1546	7	7	1
124.397	5.299	2	LowY	T3_shout.bmp	T1_yell.bmp	1190	7	7	1
129.696	5.299	1	HighY	T3_dime.bmp	T0_nickel.bmp	1307	8	7	0
134.995	5.3	5	PercY	_F3_o4.bmp	_F2_o4.bmp	1040	7	7	1
140.295	4.799	3	UnrN	T3_cream.bmp	T2_grip.bmp	1164	8	8	1
145.094	5.283	3	UnrN	T3_trust.bmp	T2_dozen.bmp	1213	8	8	1
150.377	4.799	3	UnrN	T3_sailing.bmp	T2_nest.bmp	1194	8	8	1
155.176	4.8	8	FixN	Gen/_Fix_Green.bmp	Gen/_Fix_Red.bmp	1195	8	8	1
159.976	4.799	3	UnrN	T3_pigeon.bmp	T1_gamble.bmp	1140	8	8	1
164.775	4.799	2	LowY	T3_maple.bmp	T2_syrup.bmp	2204	7	7	1
169.574	5.8	2	LowY	T3_hop.bmp	T0_skip.bmp	1181	8	7	0
175.374	5.299	6	PercN	_F3_f6.bmp	_F1_d6.bmp	1149	8	8	1
180.673	4.816	6	PercN	_F3_d4.bmp	_F0_o4.bmp	1114	8	8	1
185.489	5.799	8	FixN	Gen/_Fix_Green.bmp	Gen/_Fix_Red.bmp	1114	8	8	1
191.288	5.783	3	UnrN	T3_blanket.bmp	T1_split.bmp	1211	8	8	1
197.071	4.799	1	HighY	T3_yours.bmp	T1_mine.bmp	1348	8	7	0
201.87	5.8	3	UnrN	T3_corn.bmp	T1_blame.bmp	1125	8	8	1
207.67	5.299	3	UnrN	T3_hunter.bmp	T2_lemon.bmp	1070	8	8	1
212.969	5.299	7	FixY	Gen/_Fix_Red.bmp	Gen/_Fix_Red.bmp	1066	7	7	1
218.268	4.8	6	PercN	_F3_b6.bmp	_F1_f6.bmp	1207	8	8	1
223.068	5.799	1	HighY	T3_prison.bmp	T2_jail.bmp	1120	7	7	1
228.867	4.799	2	LowY	T3_hoot.bmp	T2_owl.bmp	1408	7	7	1
233.666	5.3	6	PercN	_F3_f4.bmp	_F0_d4.bmp	1177	8	8	1
238.966	5.299	2	LowY	T3_water.bmp	T2_drink.bmp	1182	7	7	1
244.265	5.799	7	FixY	Gen/_Fix_Green.bmp	Gen/_Fix_Green.bmp	1090	7	7	1
250.064	4.8	1	HighY	T3_table.bmp	T0_chair.bmp	1315	7	7	1
254.864	5.299	8	FixN	Gen/_Fix_Green.bmp	Gen/_Fix_Red.bmp	1100	8	8	1
260.163	5.799	1	HighY	T3_vine.bmp	T2_grape.bmp	2440	7	7	1
265.962	5.799	1	HighY	T3_noun.bmp	T1_verb.bmp	2273	7	7	1
271.761	5.8	6	PercN	_F3_o4.bmp	_F2_b4.bmp	1026	8	8	1
277.561	4.799	7	FixY	Gen/_Fix_Red.bmp	Gen/_Fix_Red.bmp	1075	7	7	1
282.36	4.799	5	PercY	_F3_b6.bmp	_F0_b6.bmp	1091	7	7	1
287.159	5.8	1	HighY	T3_lend.bmp	T1_borrow.bmp	1932	7	7	1
292.959	4.799	7	FixY	Gen/_Fix_Green.bmp	Gen/_Fix_Green.bmp	1061	7	7	1
297.758	5.299	1	HighY	T3_silver.bmp	T2_gold.bmp	2037	8	7	0
303.057	5.8	5	PercY	_F3_d6.bmp	_F1_d6.bmp	1098	7	7	1
308.857	5.816	6	PercN	_F3_o6.bmp	_F2_b6.bmp	1107	8	8	1
314.673	4.349	5	PercY	_F3_d4.bmp	_F0_d4.bmp	1227	7	7	1
