onset	duration	trial_type	trial_name	prime_stim	targ_stim	response_time	resp	cresp	acc
1.515	6.582	7	FixY	Gen/_Fix_Red.mpg	Gen/_Fix_Red.mpg	1717	7	7	1
8.097	6.599	2	Loc	year2.mpg	bicycle2.mpg	2031	7	7	1
14.696	5.6	8	FixN	Gen/_Fix_Red.mpg	Gen/_Fix_Green.mpg	1208	8	8	1
20.296	6.099	3	Diff	lipstick2.mpg	boy2.mpg	1936	8	8	1
26.395	6.582	3	Diff	war.mpg	family.mpg	2533	8	8	1
32.977	6.6	8	FixN	Gen/_Fix_Green.mpg	Gen/_Fix_Red.mpg	1647	8	8	1
39.577	5.599	7	FixY	Gen/_Fix_Red.mpg	Gen/_Fix_Red.mpg	1824	7	7	1
45.176	5.599	1	HS	chocolate.mpg	island.mpg	1976	7	7	1
50.775	6.583	3	Diff	improve.mpg	help.mpg	2673	8	8	1
57.358	5.599	6	PercN	shoulders2.mpg	hair2.mpg	2027	8	8	1
62.957	6.099	2	Loc	wolf2.mpg	white2.mpg	2395	7	7	1
69.056	6.099	3	Diff	gang.mpg	religion.mpg	2192	8	8	1
75.155	5.583	3	Diff	believe2.mpg	rock2.mpg	2069	8	8	1
80.738	6.099	3	Diff	cat2.mpg	clown2.mpg	2134	7	8	0
86.837	6.601	1	HS	potato.mpg	church.mpg	2131	8	7	0
93.438	6.114	7	FixY	Gen/_Fix_Green.mpg	Gen/_Fix_Green.mpg	1876	7	7	1
99.552	6.083	2	Loc	fine.mpg	mother.mpg	2328	7	7	1
105.635	6.582	5	PercY	hair.mpg	hair.mpg	2629	7	7	1
112.217	5.6	3	Diff	shy.mpg	twin.mpg	1935	8	8	1
117.817	6.099	6	PercN	nose.mpg	hair.mpg	1920	8	8	1
123.916	6.582	7	FixY	Gen/_Fix_Green.mpg	Gen/_Fix_Green.mpg	1820	7	7	1
130.498	5.6	1	HS	long2.mpg	sheep2.mpg	1766	8	7	0
136.098	5.599	3	Diff	kid.mpg	wonder.mpg	2583	8	8	1
141.697	6.099	8	FixN	Gen/_Fix_Red.mpg	Gen/_Fix_Green.mpg	1815	8	8	1
147.796	6.583	5	PercY	hair2.mpg	hair2.mpg	2020	8	7	0
154.379	5.599	7	FixY	Gen/_Fix_Red.mpg	Gen/_Fix_Red.mpg	2342	7	7	1
159.978	5.599	5	PercY	shoulders2.mpg	shoulders2.mpg	2270	7	7	1
165.577	6.099	3	Diff	understand.mpg	guess.mpg	2310	8	8	1
171.676	6.583	2	Loc	houston.mpg	uncle.mpg	1924	8	7	0
178.259	6.599	3	Diff	tired2.mpg	charge-card2.mpg	2357	8	8	1
184.858	6.599	6	PercN	hair2.mpg	nose2.mpg	2758	8	8	1
191.457	6.599	8	FixN	Gen/_Fix_Green.mpg	Gen/_Fix_Red.mpg	1791	8	8	1
198.056	6.083	5	PercY	nose.mpg	nose.mpg	2512	7	7	1
204.139	6.099	7	FixY	Gen/_Fix_Green.mpg	Gen/_Fix_Green.mpg	2389	7	7	1
210.238	6.099	5	PercY	nose2.mpg	nose2.mpg	2682	7	7	1
216.337	5.6	8	FixN	Gen/_Fix_Red.mpg	Gen/_Fix_Green.mpg	2511	8	8	1
221.937	6.082	6	PercN	nose2.mpg	shoulders2.mpg	2608	8	8	1
228.019	5.616	6	PercN	shoulders.mpg	nose.mpg	1916	8	8	1
233.635	5.599	3	Diff	hearing2.mpg	puzzled2.mpg	2845	7	8	0
239.234	5.583	5	PercY	shoulders.mpg	shoulders.mpg	2406	7	7	1
244.817	6.583	6	PercN	hair.mpg	shoulders.mpg	3256	8	8	1
251.4	6.099	1	HS	thank.mpg	tell.mpg	2369	7	7	1
257.499	6.099	8	FixN	Gen/_Fix_Green.mpg	Gen/_Fix_Red.mpg	1837	8	8	1
263.598	6.599	3	Diff	europe2.mpg	grass2.mpg	3482	8	8	1
270.197	6.583	1	HS	last2.mpg	can't2.mpg	2284	7	7	1
276.78	5.599	2	Loc	boss2.mpg	complain2.mpg	2109	7	7	1
282.379	6.099	1	HS	spider2.mpg	slave2.mpg	2373	8	7	0
288.478	5.133	2	Loc	not-know.mpg	bad.mpg	2098	7	7	1
