onset	duration	trial_type	trial_name	prime_stim	targ_stim	response_time	resp	cresp	acc
1.518	6.199	1	PicY	Sem/train.bmp	Sem/track.bmp	2051	7	7	1
7.717	5.199	1	PicY	Sem/key.bmp	Sem/lock.bmp	1531	7	7	1
12.916	5.716	3	PicN	Sem/harp.bmp	Sem/corn.bmp	2628	8	8	1
18.632	5.199	5	PercY	Sem/perc_shoe_brown.bmp	Sem/perc_shoe_brown.bmp	1672	7	7	1
23.831	5.2	7	FixY	Gen/_Fix_Red.bmp	Gen/_Fix_Red.bmp	2097	7	7	1
29.031	6.232	3	PicN	Sem/skunk.bmp	Sem/scoop.bmp	1913	8	8	1
35.263	6.199	1	PicY	Sem/plate.bmp	Sem/cup.bmp	2025	7	7	1
41.462	5.7	6	PercN	Sem/perc_hatch_brown.bmp	Sem/perc_crab_pink.bmp	1514	8	8	1
47.162	6.199	3	PicN	Sem/cane.bmp	Sem/bounce.bmp	2823	8	8	1
53.361	5.199	3	PicN	Sem/wave.bmp	Sem/boot.bmp	2455	8	8	1
58.56	6.2	8	FixN	Gen/_Fix_Green.bmp	Gen/_Fix_Red.bmp	2200	8	8	1
64.76	5.215	8	FixN	Gen/_Fix_Red.bmp	Gen/_Fix_Green.bmp	1729	8	8	1
69.975	5.7	1	PicY	Sem/king.bmp	Sem/queen.bmp	1537	7	7	1
75.675	5.199	1	PicY	Sem/shoe.bmp	Sem/sock.bmp	2245	7	7	1
80.874	6.216	5	PercY	Sem/perc_light_white.bmp	Sem/perc_light_white.bmp	3022	7	7	1
87.09	5.199	6	PercN	Sem/perc_pour_white.bmp	Sem/perc_mop_pink.bmp	1222	8	8	1
92.289	5.2	3	PicN	Sem/pour.bmp	Sem/crab.bmp	2399	8	8	1
97.489	5.699	1	PicY	Sem/break.bmp	Sem/fix.bmp	1512	8	7	0
103.188	5.716	5	PercY	Sem/perc_rope_pink.bmp	Sem/perc_rope_pink.bmp	1940	7	7	1
108.904	5.199	3	PicN	Sem/bomb.bmp	Sem/nail.bmp	2608	8	8	1
114.103	6.199	6	PercN	Sem/perc_boy_white.bmp	Sem/perc_king_brown.bmp	2137	8	8	1
120.302	6.216	3	PicN	Sem/hat.bmp	Sem/fire.bmp	1770	8	8	1
126.518	5.2	8	FixN	Gen/_Fix_Green.bmp	Gen/_Fix_Red.bmp	1850	8	8	1
131.718	6.199	1	PicY	Sem/leaf.bmp	Sem/tree.bmp	3371	7	7	1
137.917	5.716	3	PicN	Sem/safe.bmp	Sem/drip.bmp	2339	8	8	1
143.633	5.699	7	FixY	Gen/_Fix_Green.bmp	Gen/_Fix_Green.bmp	1535	7	7	1
149.332	6.199	5	PercY	Sem/perc_scoop_brown.bmp	Sem/perc_scoop_brown.bmp	2036	7	7	1
155.531	5.716	6	PercN	Sem/perc_queen_pink.bmp	Sem/perc_key_brown.bmp	2149	8	8	1
161.247	5.716	8	FixN	Gen/_Fix_Red.bmp	Gen/_Fix_Green.bmp	2457	8	8	1
166.963	5.199	1	PicY	Sem/shirt.bmp	Sem/tie.bmp	2997	7	7	1
172.162	5.7	1	PicY	Sem/light.bmp	Sem/bulb.bmp	2766	8	7	0
177.862	5.199	7	FixY	Gen/_Fix_Red.bmp	Gen/_Fix_Red.bmp	1834	7	7	1
183.061	6.199	6	PercN	Sem/perc_pants_pink.bmp	Sem/perc_priest_white.bmp	2211	8	8	1
189.26	5.216	3	PicN	Sem/priest.bmp	Sem/float.bmp	1996	8	8	1
194.476	5.7	8	FixN	Gen/_Fix_Green.bmp	Gen/_Fix_Red.bmp	1700	8	8	1
200.176	6.199	1	PicY	Sem/girl.bmp	Sem/boy.bmp	2209	7	7	1
206.375	6.216	7	FixY	Gen/_Fix_Green.bmp	Gen/_Fix_Green.bmp	2337	7	7	1
212.591	5.199	6	PercN	Sem/perc_cup_brown.bmp	Sem/perc_book_white.bmp	2562	8	8	1
217.79	5.199	1	PicY	Sem/truck.bmp	Sem/car.bmp	898	7	7	1
222.989	5.716	3	PicN	Sem/sweat.bmp	Sem/book.bmp	1947	8	8	1
228.705	5.699	7	FixY	Gen/_Fix_Red.bmp	Gen/_Fix_Red.bmp	1711	7	7	1
234.404	6.2	3	PicN	Sem/hatch.bmp	Sem/deer.bmp	2124	8	8	1
240.604	5.716	1	PicY	Sem/mop.bmp	Sem/broom.bmp	1732	7	7	1
246.32	5.699	5	PercY	Sem/perc_truck_pink.bmp	Sem/perc_truck_pink.bmp	1208	7	7	1
252.019	6.199	7	FixY	Gen/_Fix_Green.bmp	Gen/_Fix_Green.bmp	1653	7	7	1
258.218	5.216	5	PercY	Sem/perc_deer_white.bmp	Sem/perc_deer_white.bmp	1718	7	7	1
263.434	6.199	8	FixN	Gen/_Fix_Red.bmp	Gen/_Fix_Green.bmp	1590	8	8	1
269.633	5.233	3	PicN	Sem/pants.bmp	Sem/rope.bmp	1927	8	8	1
