onset	duration	trial_type	trial_name	prime_stim	targ_stim	response_time	resp	cresp	acc
1.506	6.599	7	FixY	Gen/_Fix_Red.mpg	Gen/_Fix_Red.mpg	1102	7	7	1
8.105	6.599	2	Loc	year2.mpg	bicycle2.mpg	2847	7	7	1
14.704	5.583	8	FixN	Gen/_Fix_Red.mpg	Gen/_Fix_Green.mpg	1552	8	8	1
20.287	6.099	3	Diff	lipstick2.mpg	boy2.mpg	2513	8	8	1
26.386	6.599	3	Diff	war.mpg	family.mpg	4230	8	8	1
32.985	6.599	8	FixN	Gen/_Fix_Green.mpg	Gen/_Fix_Red.mpg	1351	8	8	1
39.584	5.6	7	FixY	Gen/_Fix_Red.mpg	Gen/_Fix_Red.mpg	3120	7	7	1
45.184	5.599	1	HS	chocolate.mpg	island.mpg	2080	7	7	1
50.783	6.583	3	Diff	improve.mpg	help.mpg	2529	8	8	1
57.366	5.599	6	PercN	shoulders2.mpg	hair2.mpg	3323	8	8	1
62.965	6.082	2	Loc	wolf2.mpg	white2.mpg	4198	NA	7	NA
69.047	6.1	3	Diff	gang.mpg	religion.mpg	3208	8	8	1
75.147	5.599	3	Diff	believe2.mpg	rock2.mpg	3698	NA	8	NA
80.746	6.099	3	Diff	cat2.mpg	clown2.mpg	1477	7	8	0
86.845	6.582	1	HS	potato.mpg	church.mpg	2466	8	7	0
93.427	6.1	7	FixY	Gen/_Fix_Green.mpg	Gen/_Fix_Green.mpg	2212	7	7	1
99.527	6.099	2	Loc	fine.mpg	mother.mpg	2081	7	7	1
105.626	6.599	5	PercY	hair.mpg	hair.mpg	1717	7	7	1
112.225	5.583	3	Diff	shy.mpg	twin.mpg	2742	8	8	1
117.808	6.099	6	PercN	nose.mpg	hair.mpg	1920	8	8	1
123.907	6.599	7	FixY	Gen/_Fix_Green.mpg	Gen/_Fix_Green.mpg	1100	7	7	1
130.506	5.599	1	HS	long2.mpg	sheep2.mpg	3373	7	7	1
136.105	5.583	3	Diff	kid.mpg	wonder.mpg	2759	8	8	1
141.688	6.099	8	FixN	Gen/_Fix_Red.mpg	Gen/_Fix_Green.mpg	1255	8	8	1
147.787	6.599	5	PercY	hair2.mpg	hair2.mpg	1724	7	7	1
154.386	5.599	7	FixY	Gen/_Fix_Red.mpg	Gen/_Fix_Red.mpg	1885	7	7	1
159.985	5.584	5	PercY	shoulders2.mpg	shoulders2.mpg	1294	7	7	1
165.569	6.098	3	Diff	understand.mpg	guess.mpg	4668	7	8	0
171.667	6.616	2	Loc	houston.mpg	uncle.mpg	3188	8	7	0
178.283	6.599	3	Diff	tired2.mpg	charge-card2.mpg	4188	8	8	1
184.882	6.566	6	PercN	hair2.mpg	nose2.mpg	1886	8	8	1
191.448	6.599	8	FixN	Gen/_Fix_Green.mpg	Gen/_Fix_Red.mpg	1983	8	8	1
198.047	6.099	5	PercY	nose.mpg	nose.mpg	2280	7	7	1
204.146	6.099	7	FixY	Gen/_Fix_Green.mpg	Gen/_Fix_Green.mpg	1757	7	7	1
210.245	6.083	5	PercY	nose2.mpg	nose2.mpg	1218	7	7	1
216.328	5.599	8	FixN	Gen/_Fix_Red.mpg	Gen/_Fix_Green.mpg	1631	8	8	1
221.927	6.099	6	PercN	nose2.mpg	shoulders2.mpg	3736	8	8	1
228.026	5.6	6	PercN	shoulders.mpg	nose.mpg	2485	8	8	1
233.626	5.582	3	Diff	hearing2.mpg	puzzled2.mpg	2733	8	8	1
239.208	5.6	5	PercY	shoulders.mpg	shoulders.mpg	3223	7	7	1
244.808	6.599	6	PercN	hair.mpg	shoulders.mpg	3608	8	8	1
251.407	6.099	1	HS	thank.mpg	tell.mpg	3040	8	7	0
257.506	6.082	8	FixN	Gen/_Fix_Green.mpg	Gen/_Fix_Red.mpg	1893	8	8	1
263.588	6.6	3	Diff	europe2.mpg	grass2.mpg	4936	8	8	1
270.188	6.599	1	HS	last2.mpg	can't2.mpg	2700	8	7	0
276.787	5.599	2	Loc	boss2.mpg	complain2.mpg	2252	7	7	1
282.386	6.083	1	HS	spider2.mpg	slave2.mpg	1981	7	7	1
288.469	5.132	2	Loc	not-know.mpg	bad.mpg	2459	7	7	1
