onset	duration	trial_type	trial_name	prime_stim	targ_stim	response_time	resp	cresp	acc
1.516	6.599	1	Onset	GemM2.mpg	JetM1.mpg	1860	7	7	1
8.115	6.116	2	Offset	DimF2.mpg	HimF1.mpg	2133	8	7	0
14.231	5.599	3	Diff	TapM2.mpg	HisM2.mpg	3369	8	8	1
19.83	5.599	3	Diff	HotF1.mpg	RagF1.mpg	2610	7	8	0
25.429	5.6	3	Diff	FatM2.mpg	JobM2.mpg	3703	n/a	8	n/a
31.029	6.116	5	PercY	CheeksM1.mpg	CheeksM1.mpg	1035	7	7	1
37.145	5.599	2	Offset	DamM1.mpg	HamM2.mpg	2616	8	7	0
42.744	5.616	1	Onset	PigM2.mpg	PinM2.mpg	1832	7	7	1
48.36	5.616	2	Offset	KidF1.mpg	LidF1.mpg	2320	8	7	0
53.976	6.582	3	Diff	HitM2.mpg	CapM2.mpg	2920	8	8	1
60.558	6.1	6	PercN	CheeksF1.mpg	TongueF1.mpg	1378	8	8	1
66.658	6.115	2	Offset	GodM2.mpg	NodM2.mpg	1759	7	7	1
72.773	6.6	7	FixY	Gen/_Fix_Green.mpg	Gen/_Fix_Green.mpg	1011	7	7	1
79.373	5.599	7	FixY	Gen/_Fix_Red.mpg	Gen/_Fix_Red.mpg	1660	7	7	1
84.972	5.616	5	PercY	TongueM2.mpg	TongueM2.mpg	1460	7	7	1
90.588	5.599	6	PercN	TeethF1.mpg	CheeksF1.mpg	2540	8	8	1
96.187	5.599	1	Onset	MudF1.mpg	MugF2.mpg	3213	8	7	0
101.786	6.1	3	Diff	GasF1.mpg	PopF2.mpg	2446	8	8	1
107.886	6.115	8	FixN	Gen/_Fix_Green.mpg	Gen/_Fix_Red.mpg	3554	8	8	1
114.001	5.6	5	PercY	TeethF1.mpg	TeethF1.mpg	1399	7	7	1
119.601	6.099	3	Diff	SetM2.mpg	JamM2.mpg	1639	8	8	1
125.7	6.116	6	PercN	CheeksM1.mpg	TeethM1.mpg	1396	8	8	1
131.816	5.599	8	FixN	Gen/_Fix_Green.mpg	Gen/_Fix_Red.mpg	1312	7	8	0
137.415	6.099	7	FixY	Gen/_Fix_Red.mpg	Gen/_Fix_Red.mpg	1961	7	7	1
143.514	6.616	6	PercN	TeethM1.mpg	TongueM2.mpg	2286	8	8	1
150.13	6.599	3	Diff	PutM2.mpg	LogM2.mpg	3790	8	8	1
156.729	6.599	5	PercY	TongueF1.mpg	TongueF1.mpg	2359	7	7	1
163.328	6.616	8	FixN	Gen/_Fix_Red.mpg	Gen/_Fix_Green.mpg	2759	8	8	1
169.944	5.6	7	FixY	Gen/_Fix_Green.mpg	Gen/_Fix_Green.mpg	1472	7	7	1
175.544	6.115	3	Diff	HatM2.mpg	PubM2.mpg	1961	8	8	1
181.659	5.616	6	PercN	TongueM2.mpg	CheeksM1.mpg	1932	8	8	1
187.275	6.083	1	Onset	RapF1.mpg	RatF1.mpg	1861	7	7	1
193.358	6.099	7	FixY	Gen/_Fix_Red.mpg	Gen/_Fix_Red.mpg	1098	7	7	1
199.457	6.616	3	Diff	JigF1.mpg	PutF1.mpg	2087	7	8	0
206.073	5.599	3	Diff	FunF1.mpg	LipF1.mpg	2087	8	8	1
211.672	6.099	1	Onset	BigM2.mpg	BidM2.mpg	1672	7	7	1
217.771	6.116	5	PercY	CheeksF1.mpg	CheeksF1.mpg	1445	7	7	1
223.887	5.6	8	FixN	Gen/_Fix_Red.mpg	Gen/_Fix_Green.mpg	1481	8	8	1
229.487	6.599	2	Offset	GapM2.mpg	LapM2.mpg	2146	7	7	1
236.086	6.616	2	Offset	CanF1.mpg	PanF1.mpg	2410	7	7	1
242.702	6.099	8	FixN	Gen/_Fix_Red.mpg	Gen/_Fix_Green.mpg	3771	8	8	1
248.801	6.099	3	Diff	MenF1.mpg	CupF2.mpg	2024	8	8	1
254.9	6.616	7	FixY	Gen/_Fix_Green.mpg	Gen/_Fix_Green.mpg	1916	7	7	1
261.516	6.599	8	FixN	Gen/_Fix_Green.mpg	Gen/_Fix_Red.mpg	1724	8	8	1
268.115	6.599	3	Diff	LogF1.mpg	HatF1.mpg	1693	8	8	1
274.714	6.616	1	Onset	SumF1.mpg	SonF1.mpg	1909	7	7	1
281.33	6.599	6	PercN	TongueF1.mpg	TeethF1.mpg	1678	8	8	1
287.929	6.133	5	PercY	TeethM1.mpg	TeethM1.mpg	1855	7	7	1
