onset	duration	trial_type	trial_name	prime_stim	targ_stim	response_time	resp	cresp	acc
1.51	6.616	1	Onset	GemM2.mpg	JetM1.mpg	2282	7	7	1
8.126	6.1	2	Offset	DimF2.mpg	HimF1.mpg	2250	7	7	1
14.226	5.599	3	Diff	TapM2.mpg	HisM2.mpg	2295	8	8	1
19.825	5.599	3	Diff	HotF1.mpg	RagF1.mpg	2703	8	8	1
25.424	5.616	3	Diff	FatM2.mpg	JobM2.mpg	2880	7	8	0
31.04	6.099	5	PercY	CheeksM1.mpg	CheeksM1.mpg	1984	7	7	1
37.139	5.6	2	Offset	DamM1.mpg	HamM2.mpg	3389	7	7	1
42.739	5.615	1	Onset	PigM2.mpg	PinM2.mpg	2454	8	7	0
48.354	5.6	2	Offset	KidF1.mpg	LidF1.mpg	3238	8	7	0
53.954	6.599	3	Diff	HitM2.mpg	CapM2.mpg	2790	8	8	1
60.553	6.116	6	PercN	CheeksF1.mpg	TongueF1.mpg	2471	8	8	1
66.669	6.099	2	Offset	GodM2.mpg	NodM2.mpg	3571	7	7	1
72.768	6.599	7	FixY	Gen/_Fix_Green.mpg	Gen/_Fix_Green.mpg	1904	7	7	1
79.367	5.616	7	FixY	Gen/_Fix_Red.mpg	Gen/_Fix_Red.mpg	1633	7	7	1
84.983	5.599	5	PercY	TongueM2.mpg	TongueM2.mpg	2137	7	7	1
90.582	5.6	6	PercN	TeethF1.mpg	CheeksF1.mpg	2250	8	8	1
96.182	5.599	1	Onset	MudF1.mpg	MugF2.mpg	4197	7	7	1
101.781	6.132	3	Diff	GasF1.mpg	PopF2.mpg	1867	8	8	1
107.913	6.1	8	FixN	Gen/_Fix_Green.mpg	Gen/_Fix_Red.mpg	2111	8	8	1
114.013	5.582	5	PercY	TeethF1.mpg	TeethF1.mpg	3099	8	7	0
119.595	6.116	3	Diff	SetM2.mpg	JamM2.mpg	4077	8	8	1
125.711	6.099	6	PercN	CheeksM1.mpg	TeethM1.mpg	1865	8	8	1
131.81	5.6	8	FixN	Gen/_Fix_Green.mpg	Gen/_Fix_Red.mpg	1726	8	8	1
137.41	6.116	7	FixY	Gen/_Fix_Red.mpg	Gen/_Fix_Red.mpg	2422	7	7	1
143.526	6.599	6	PercN	TeethM1.mpg	TongueM2.mpg	4467	8	8	1
150.125	6.599	3	Diff	PutM2.mpg	LogM2.mpg	2851	8	8	1
156.724	6.616	5	PercY	TongueF1.mpg	TongueF1.mpg	1828	7	7	1
163.34	6.599	8	FixN	Gen/_Fix_Red.mpg	Gen/_Fix_Green.mpg	2444	8	8	1
169.939	5.599	7	FixY	Gen/_Fix_Green.mpg	Gen/_Fix_Green.mpg	1597	7	7	1
175.538	6.116	3	Diff	HatM2.mpg	PubM2.mpg	2478	8	8	1
181.654	5.599	6	PercN	TongueM2.mpg	CheeksM1.mpg	3932	8	8	1
187.253	6.1	1	Onset	RapF1.mpg	RatF1.mpg	2867	7	7	1
193.353	6.115	7	FixY	Gen/_Fix_Red.mpg	Gen/_Fix_Red.mpg	1271	7	7	1
199.468	6.6	3	Diff	JigF1.mpg	PutF1.mpg	2740	7	8	0
206.068	5.599	3	Diff	FunF1.mpg	LipF1.mpg	2517	8	8	1
211.667	6.116	1	Onset	BigM2.mpg	BidM2.mpg	4528	8	7	0
217.783	6.099	5	PercY	CheeksF1.mpg	CheeksF1.mpg	1801	7	7	1
223.882	5.599	8	FixN	Gen/_Fix_Red.mpg	Gen/_Fix_Green.mpg	1686	8	8	1
229.481	6.616	2	Offset	GapM2.mpg	LapM2.mpg	1863	7	7	1
236.097	6.616	2	Offset	CanF1.mpg	PanF1.mpg	1926	8	7	0
242.713	6.082	8	FixN	Gen/_Fix_Red.mpg	Gen/_Fix_Green.mpg	1895	8	8	1
248.795	6.116	3	Diff	MenF1.mpg	CupF2.mpg	3749	8	8	1
254.911	6.599	7	FixY	Gen/_Fix_Green.mpg	Gen/_Fix_Green.mpg	1585	7	7	1
261.51	6.6	8	FixN	Gen/_Fix_Green.mpg	Gen/_Fix_Red.mpg	2690	8	8	1
268.11	6.615	3	Diff	LogF1.mpg	HatF1.mpg	3522	8	8	1
274.725	6.6	1	Onset	SumF1.mpg	SonF1.mpg	3339	7	7	1
281.325	6.599	6	PercN	TongueF1.mpg	TeethF1.mpg	2651	8	8	1
287.924	6.149	5	PercY	TeethM1.mpg	TeethM1.mpg	3268	7	7	1
