onset	duration	trial_type	trial_name	prime_stim	targ_stim	response_time	resp	cresp	acc
1.513	4.799	3	OyPn	T3_post.bmp	T1_cost.bmp	1633	7	8	0
6.312	5.299	5	PercY	_F3_o4.bmp	_F2_o4.bmp	2066	7	7	1
11.611	4.8	2	OnPy	T3_rum.bmp	T1_numb.bmp	2975	7	7	1
16.411	5.816	7	FixY	Gen/_Fix_Green.bmp	Gen/_Fix_Green.bmp	1175	7	7	1
22.227	4.799	6	PercN	_F3_s6.bmp	_F0_e6.bmp	1407	8	8	1
27.026	4.799	1	OyPy	T3_fought.bmp	T1_sought.bmp	2736	8	7	0
31.825	4.8	1	OyPy	T3_scheme.bmp	T2_theme.bmp	2233	7	7	1
36.625	4.799	5	PercY	_F3_f4.bmp	_F0_f4.bmp	1185	7	7	1
41.424	5.316	1	OyPy	T3_stool.bmp	T0_fool.bmp	1954	7	7	1
46.74	5.3	1	OyPy	T3_soak.bmp	T0_oak.bmp	1318	7	7	1
52.04	5.299	3	OyPn	T3_threat.bmp	T1_wheat.bmp	1555	8	8	1
57.339	4.799	1	OyPy	T3_thread.bmp	T0_spread.bmp	1439	8	7	0
62.138	5.8	2	OnPy	T3_pile.bmp	T1_trial.bmp	1280	7	7	1
67.938	5.799	4	OnPn	T3_swap.bmp	T2_watch.bmp	1145	8	8	1
73.737	5.816	8	FixN	Gen/_Fix_Green.bmp	Gen/_Fix_Red.bmp	1561	8	8	1
79.553	5.299	4	OnPn	T3_tough.bmp	T1_dull.bmp	1881	7	8	0
84.852	5.799	6	PercN	_F3_o4.bmp	_F2_b4.bmp	1262	8	8	1
90.651	5.8	1	OyPy	T3_sweep.bmp	T0_creep.bmp	1527	7	7	1
96.451	5.799	6	PercN	_F3_d6.bmp	_F1_o6.bmp	1160	8	8	1
102.25	4.833	8	FixN	Gen/_Fix_Green.bmp	Gen/_Fix_Red.bmp	1656	8	8	1
107.083	4.799	2	OnPy	T3_stroke.bmp	T1_soak.bmp	1177	7	7	1
111.882	5.283	4	OnPn	T3_trial.bmp	T0_fall.bmp	1600	8	8	1
117.165	5.799	5	PercY	_F3_s6.bmp	_F0_s6.bmp	1094	7	7	1
122.964	4.799	7	FixY	Gen/_Fix_Green.bmp	Gen/_Fix_Green.bmp	1214	7	7	1
127.763	4.816	8	FixN	Gen/_Fix_Red.bmp	Gen/_Fix_Green.bmp	1439	8	8	1
