onset	duration	trial_type	trial_name	prime_stim	targ_stim	response_time	resp	cresp	acc
1.505	5.716	1	PicY	Eng/vase.bmp	Eng/chase.bmp	2382	8	7	0
7.221	5.2	1	PicY	Eng/bell.bmp	Eng/well.bmp	1371	7	7	1
12.421	5.699	3	PicN	Eng/mask.bmp	Eng/swing.bmp	1571	8	8	1
18.12	5.216	5	PercY	Eng/perc_mask_white.bmp	Eng/perc_mask_white.bmp	1200	7	7	1
23.336	5.199	7	FixY	Gen/_Fix_Green.bmp	Gen/_Fix_Green.bmp	1392	7	7	1
28.535	5.2	3	PicN	Eng/surf.bmp	Eng/plug.bmp	1737	8	8	1
33.735	6.215	1	PicY	Eng/snake.bmp	Eng/cake.bmp	1330	7	7	1
39.95	5.7	6	PercN	Eng/perc_crawl_white.bmp	Eng/perc_smell_pink.bmp	1162	8	8	1
45.65	5.199	3	PicN	Eng/tent.bmp	Eng/sit.bmp	1478	8	8	1
50.849	6.216	3	PicN	Eng/bus.bmp	Eng/crawl.bmp	1759	8	8	1
57.065	5.716	8	FixN	Gen/_Fix_Red.bmp	Gen/_Fix_Green.bmp	1503	8	8	1
62.781	5.699	8	FixN	Gen/_Fix_Green.bmp	Gen/_Fix_Red.bmp	1403	8	8	1
68.48	6.199	1	PicY	Eng/nose.bmp	Eng/hose.bmp	1374	7	7	1
74.679	5.7	1	PicY	Eng/steal.bmp	Eng/seal.bmp	1881	8	7	0
80.379	6.199	5	PercY	Eng/perc_seal_pink.bmp	Eng/perc_seal_pink.bmp	1062	7	7	1
86.578	6.216	6	PercN	Eng/perc_nose_white.bmp	Eng/perc_fan_brown.bmp	1678	8	8	1
92.794	5.699	3	PicN	Eng/weigh.bmp	Eng/drink.bmp	1670	8	8	1
98.493	5.199	1	PicY	Eng/man.bmp	Eng/fan.bmp	2339	7	7	1
103.692	5.716	5	PercY	Eng/perc_bus_pink.bmp	Eng/perc_bus_pink.bmp	1540	7	7	1
109.408	5.2	3	PicN	Eng/smoke.bmp	Eng/frog.bmp	2424	7	8	0
114.608	5.199	6	PercN	Eng/perc_frog_brown.bmp	Eng/perc_beard_white.bmp	1393	8	8	1
119.807	5.716	3	PicN	Eng/beard.bmp	Eng/sleep.bmp	2097	8	8	1
125.523	5.199	8	FixN	Gen/_Fix_Green.bmp	Gen/_Fix_Red.bmp	1397	8	8	1
130.722	6.199	1	PicY	Eng/purse.bmp	Eng/nurse.bmp	1782	8	7	0
136.921	6.216	3	PicN	Eng/peel.bmp	Eng/smell.bmp	1831	8	8	1
143.137	5.7	7	FixY	Gen/_Fix_Green.bmp	Gen/_Fix_Green.bmp	2199	7	7	1
148.837	6.199	5	PercY	Eng/perc_play_white.bmp	Eng/perc_play_white.bmp	1460	7	7	1
155.036	6.216	6	PercN	Eng/perc_paint_pink.bmp	Eng/perc_duck_white.bmp	1620	8	8	1
161.252	6.199	8	FixN	Gen/_Fix_Green.bmp	Gen/_Fix_Red.bmp	1492	8	8	1
167.451	5.699	1	PicY	Eng/play.bmp	Eng/pray.bmp	2085	8	7	0
173.15	5.716	1	PicY	Eng/sink.bmp	Eng/wink.bmp	1442	7	7	1
178.866	5.699	7	FixY	Gen/_Fix_Red.bmp	Gen/_Fix_Red.bmp	1366	7	7	1
184.565	5.716	6	PercN	Eng/perc_pray_brown.bmp	Eng/perc_steal_pink.bmp	1451	8	8	1
190.281	5.216	3	PicN	Eng/stool.bmp	Eng/pan.bmp	1575	8	8	1
195.497	5.2	8	FixN	Gen/_Fix_Red.bmp	Gen/_Fix_Green.bmp	1399	8	8	1
200.697	5.182	1	PicY	Eng/ring.bmp	Eng/sing.bmp	1528	7	7	1
205.879	6.2	7	FixY	Gen/_Fix_Red.bmp	Gen/_Fix_Red.bmp	1425	7	7	1
212.079	5.216	6	PercN	Eng/perc_man_pink.bmp	Eng/perc_saw_brown.bmp	1441	8	8	1
217.295	5.199	1	PicY	Eng/suck.bmp	Eng/duck.bmp	1186	7	7	1
222.494	5.699	3	PicN	Eng/bed.bmp	Eng/sweep.bmp	1386	8	8	1
228.193	6.216	7	FixY	Gen/_Fix_Green.bmp	Gen/_Fix_Green.bmp	1351	7	7	1
234.409	6.199	3	PicN	Eng/saw.bmp	Eng/drum.bmp	1543	8	8	1
240.608	6.199	1	PicY	Eng/pig.bmp	Eng/wig.bmp	1480	7	7	1
246.807	5.716	5	PercY	Eng/perc_well_brown.bmp	Eng/perc_well_brown.bmp	1385	7	7	1
252.523	5.2	7	FixY	Gen/_Fix_Red.bmp	Gen/_Fix_Red.bmp	1389	7	7	1
257.723	5.199	5	PercY	Eng/perc_look_brown.bmp	Eng/perc_look_brown.bmp	1469	7	7	1
262.922	6.216	8	FixN	Gen/_Fix_Red.bmp	Gen/_Fix_Green.bmp	1398	8	8	1
269.138	5.699	3	PicN	Eng/paint.bmp	Eng/look.bmp	1798	8	8	1
