onset	duration	trial_type	trial_name	prime_stim	targ_stim	response_time	resp	cresp	acc
1.511	6.599	1	Onset	GemM2.mpg	JetM1.mpg	2337	7	7	1
8.11	6.116	2	Offset	DimF2.mpg	HimF1.mpg	2025	7	7	1
14.226	5.599	3	Diff	TapM2.mpg	HisM2.mpg	1846	8	8	1
19.825	5.6	3	Diff	HotF1.mpg	RagF1.mpg	1927	8	8	1
25.425	5.616	3	Diff	FatM2.mpg	JobM2.mpg	2184	8	8	1
31.041	6.099	5	PercY	CheeksM1.mpg	CheeksM1.mpg	1704	7	7	1
37.14	5.599	2	Offset	DamM1.mpg	HamM2.mpg	1988	7	7	1
42.739	5.616	1	Onset	PigM2.mpg	PinM2.mpg	2397	7	7	1
48.355	5.599	2	Offset	KidF1.mpg	LidF1.mpg	2029	7	7	1
53.954	6.599	3	Diff	HitM2.mpg	CapM2.mpg	2038	7	8	0
60.553	6.116	6	PercN	CheeksF1.mpg	TongueF1.mpg	1839	8	8	1
66.669	6.1	2	Offset	GodM2.mpg	NodM2.mpg	1699	7	7	1
72.769	6.599	7	FixY	Gen/_Fix_Green.mpg	Gen/_Fix_Green.mpg	1624	7	7	1
79.368	5.616	7	FixY	Gen/_Fix_Red.mpg	Gen/_Fix_Red.mpg	1576	7	7	1
84.984	5.599	5	PercY	TongueM2.mpg	TongueM2.mpg	1360	7	7	1
90.583	5.599	6	PercN	TeethF1.mpg	CheeksF1.mpg	2009	8	8	1
96.182	5.616	1	Onset	MudF1.mpg	MugF2.mpg	1762	7	7	1
101.798	6.116	3	Diff	GasF1.mpg	PopF2.mpg	1730	8	8	1
107.914	6.083	8	FixN	Gen/_Fix_Green.mpg	Gen/_Fix_Red.mpg	1574	8	8	1
113.997	5.599	5	PercY	TeethF1.mpg	TeethF1.mpg	1612	7	7	1
119.596	6.116	3	Diff	SetM2.mpg	JamM2.mpg	2236	8	8	1
125.712	6.099	6	PercN	CheeksM1.mpg	TeethM1.mpg	1992	8	8	1
131.811	5.599	8	FixN	Gen/_Fix_Green.mpg	Gen/_Fix_Red.mpg	1533	8	8	1
137.41	6.116	7	FixY	Gen/_Fix_Red.mpg	Gen/_Fix_Red.mpg	1454	7	7	1
143.526	6.599	6	PercN	TeethM1.mpg	TongueM2.mpg	1594	8	8	1
150.125	6.6	3	Diff	PutM2.mpg	LogM2.mpg	2203	8	8	1
156.725	6.615	5	PercY	TongueF1.mpg	TongueF1.mpg	1340	7	7	1
163.34	6.6	8	FixN	Gen/_Fix_Red.mpg	Gen/_Fix_Green.mpg	1437	8	8	1
169.94	5.599	7	FixY	Gen/_Fix_Green.mpg	Gen/_Fix_Green.mpg	1605	7	7	1
175.539	6.116	3	Diff	HatM2.mpg	PubM2.mpg	1917	8	8	1
181.655	5.599	6	PercN	TongueM2.mpg	CheeksM1.mpg	1657	8	8	1
187.254	6.099	1	Onset	RapF1.mpg	RatF1.mpg	1946	7	7	1
193.353	6.116	7	FixY	Gen/_Fix_Red.mpg	Gen/_Fix_Red.mpg	1551	7	7	1
199.469	6.599	3	Diff	JigF1.mpg	PutF1.mpg	1851	8	8	1
206.068	5.6	3	Diff	FunF1.mpg	LipF1.mpg	2172	8	8	1
211.668	6.115	1	Onset	BigM2.mpg	BidM2.mpg	1989	7	7	1
217.783	6.1	5	PercY	CheeksF1.mpg	CheeksF1.mpg	1865	7	7	1
223.883	5.616	8	FixN	Gen/_Fix_Red.mpg	Gen/_Fix_Green.mpg	2158	8	8	1
229.499	6.615	2	Offset	GapM2.mpg	LapM2.mpg	1838	7	7	1
236.114	6.583	2	Offset	CanF1.mpg	PanF1.mpg	2022	7	7	1
242.697	6.099	8	FixN	Gen/_Fix_Red.mpg	Gen/_Fix_Green.mpg	1575	8	8	1
248.796	6.116	3	Diff	MenF1.mpg	CupF2.mpg	1796	8	8	1
254.912	6.599	7	FixY	Gen/_Fix_Green.mpg	Gen/_Fix_Green.mpg	1600	7	7	1
261.511	6.599	8	FixN	Gen/_Fix_Green.mpg	Gen/_Fix_Red.mpg	1673	8	8	1
268.11	6.616	3	Diff	LogF1.mpg	HatF1.mpg	1666	8	8	1
274.726	6.599	1	Onset	SumF1.mpg	SonF1.mpg	1978	8	7	0
281.325	6.599	6	PercN	TongueF1.mpg	TeethF1.mpg	1747	8	8	1
287.924	6.15	5	PercY	TeethM1.mpg	TeethM1.mpg	1707	7	7	1
