onset	duration	trial_type	trial_name	prime_stim	targ_stim	response_time	resp	cresp	acc
1.511	5.599	3	Diff	TopF1.mpg	MadF1.mpg	1985	8	8	1
7.11	5.599	8	FixN	Gen/_Fix_Green.mpg	Gen/_Fix_Red.mpg	1577	8	8	1
12.709	5.616	3	Diff	PadM1.mpg	TicM2.mpg	2018	8	8	1
18.325	6.099	2	Offset	BinF1.mpg	FinF1.mpg	2362	7	7	1
24.424	6.1	2	Offset	PenM2.mpg	TenM2.mpg	2039	8	7	0
30.524	6.599	3	Diff	MobM2.mpg	HisM2.mpg	1820	8	8	1
37.123	6.099	1	Onset	SacF1.mpg	SadF1.mpg	1868	7	7	1
43.222	6.616	5	PercY	TeethM1.mpg	TeethM1.mpg	1665	7	7	1
49.838	6.599	6	PercN	TeethM1.mpg	TongueM2.mpg	1769	8	8	1
56.437	6.599	6	PercN	TongueF1.mpg	TeethF1.mpg	1898	8	8	1
63.036	6.599	7	FixY	Gen/_Fix_Red.mpg	Gen/_Fix_Red.mpg	1603	7	7	1
69.635	6.116	7	FixY	Gen/_Fix_Red.mpg	Gen/_Fix_Red.mpg	1612	7	7	1
75.751	5.599	3	Diff	KitM1.mpg	HopM2.mpg	1832	8	8	1
81.35	6.6	2	Offset	BatF2.mpg	CatF1.mpg	2849	8	7	0
87.95	6.099	8	FixN	Gen/_Fix_Red.mpg	Gen/_Fix_Green.mpg	1698	8	8	1
94.049	5.599	6	PercN	TeethF1.mpg	CheeksF1.mpg	2206	8	8	1
99.648	6.616	3	Diff	SonF1.mpg	RipF1.mpg	1895	8	8	1
106.264	5.599	6	PercN	TongueM2.mpg	CheeksM1.mpg	1775	8	8	1
111.863	6.116	3	Diff	HadM2.mpg	MopM2.mpg	1823	8	8	1
117.979	6.599	7	FixY	Gen/_Fix_Green.mpg	Gen/_Fix_Green.mpg	1540	7	7	1
124.578	5.583	1	Onset	RugF2.mpg	RumF1.mpg	2606	7	7	1
130.161	6.116	3	Diff	JobF1.mpg	FatF1.mpg	2190	8	8	1
136.277	6.099	3	Diff	ZipF1.mpg	BunF1.mpg	1954	8	8	1
142.376	5.599	7	FixY	Gen/_Fix_Green.mpg	Gen/_Fix_Green.mpg	1695	7	7	1
147.975	6.599	2	Offset	DigM2.mpg	FigM2.mpg	2161	7	7	1
154.574	6.616	5	PercY	TongueF1.mpg	TongueF1.mpg	1802	7	7	1
161.19	5.599	5	PercY	TeethF1.mpg	TeethF1.mpg	1665	7	7	1
166.789	6.6	3	Diff	VanF1.mpg	DubF1.mpg	2130	7	8	0
173.389	6.599	3	Diff	HugM2.mpg	ZipM2.mpg	1939	8	8	1
179.988	6.099	8	FixN	Gen/_Fix_Green.mpg	Gen/_Fix_Red.mpg	1683	8	8	1
186.087	5.616	7	FixY	Gen/_Fix_Green.mpg	Gen/_Fix_Green.mpg	1544	7	7	1
191.703	6.599	1	Onset	PegF1.mpg	PetF1.mpg	1792	7	7	1
198.302	6.099	3	Diff	NunM2.mpg	PipM2.mpg	1921	8	8	1
204.401	6.6	8	FixN	Gen/_Fix_Red.mpg	Gen/_Fix_Green.mpg	1615	8	8	1
211.001	5.599	5	PercY	TongueM2.mpg	TongueM2.mpg	1872	7	7	1
216.6	5.616	2	Offset	DipF2.mpg	HipF1.mpg	2128	7	7	1
222.216	6.099	6	PercN	CheeksM1.mpg	TeethM1.mpg	1984	8	8	1
228.315	5.599	1	Onset	RibM2.mpg	RidM2.mpg	2212	7	7	1
233.914	6.599	8	FixN	Gen/_Fix_Green.mpg	Gen/_Fix_Red.mpg	1590	8	8	1
240.513	6.116	1	Onset	BudM2.mpg	BugM2.mpg	1895	7	7	1
246.629	5.616	3	Diff	BitF1.mpg	HugF1.mpg	1979	8	8	1
252.245	5.583	8	FixN	Gen/_Fix_Red.mpg	Gen/_Fix_Green.mpg	1531	8	8	1
257.828	6.599	1	Onset	RubM2.mpg	RunM2.mpg	1788	7	7	1
264.427	6.099	5	PercY	CheeksM1.mpg	CheeksM1.mpg	1709	7	7	1
270.526	6.099	7	FixY	Gen/_Fix_Red.mpg	Gen/_Fix_Red.mpg	1538	7	7	1
276.625	5.616	2	Offset	CabM2.mpg	TabM1.mpg	1703	7	7	1
282.241	6.1	5	PercY	CheeksF1.mpg	CheeksF1.mpg	1831	7	7	1
288.341	5.632	6	PercN	CheeksF1.mpg	TongueF1.mpg	1620	8	8	1
