participant_ID	WJ-III_WordID_Raw	WJ-III_WordID_StS	WJ-III_ReadFluency_Raw	WJ-III_ReadFluency_StS
sub-1002	69	106	97	122
sub-1076	55	94	64	111
sub-1077	65	108	73	114
sub-1078	59	108	51	106
sub-1079	61	111	54	108
sub-1080	67	118	86	139
sub-1081	50	94	51	107
sub-1082	50	97	40	89
sub-1083	72	115	74	105
sub-1084	64	115	76	128
sub-1086	66	125	57	114
sub-1089	72	112	98	121
sub-1090	56	95	60	107
sub-1091	61	112	53	109
sub-1101	75	126	98	122
sub-1102	68	125	63	115
sub-1103	71	120	79	115
sub-1105	65	122	47	104
sub-1107	62	106	56	104
sub-1110	61	104	67	114
sub-1111	62	106	61	108
sub-1116	62	100	68	107
sub-1117	67	128	63	122
sub-1118	66	116	93	140
sub-1119	67	115	72	116
sub-1122	30	111	50	107
sub-1129	49	73	42	79
sub-1130	61	108	61	113
sub-1131	65	115	55	105
sub-1148	58	108	50	107
sub-1156	62	106	92	138
sub-1160	72	121	98	129
sub-1161	68	109	84	117
sub-1169	63	112	56	106
sub-1178	60	103	54	104
sub-1180	69	121	93	136
sub-1181	65	113	55	103
sub-1184	56	99	61	114
sub-1185	68	100	66	96
sub-1187	68	118	79	122
sub-1190	66	104	72	110
sub-1191	64	112	68	117
sub-1192	63	116	62	118
sub-1193	64	117	74	126
sub-1194	71	122	68	105
sub-1195	66	120	96	146
sub-1196	71	122	98	151
sub-1197	50	95	39	95
sub-1198	62	113	59	113
sub-1199	61	91	55	88
sub-1203	70	125	53	101
sub-1204	54	98	39	93
sub-1205	64	108	85	127
sub-1206	62	96	72	106
sub-1208	70	108	85	113
sub-1209	63	106	57	101
sub-1210	66	97	77	105
sub-1211	68	124	76	127
sub-1213	60	112	60	117
sub-1219	35	40	29	82
sub-1220	42	82	41	96
sub-1223	62	114	57	116
sub-1225	57	93	58	101
sub-1228	46	88	41	97
sub-1229	58	93	75	114
sub-1231	40	49	34	70
sub-1240	62		84	
sub-1246	48	94	40	99
sub-1247	65	123	64	120
sub-1248	66	115	74	121
sub-1250	63	91	43	76
sub-1251	64	96	37	70
sub-1252	57	84	47	82
sub-1255	47	92	35	92
sub-1257	54	92	22	69
sub-1265	61	112	48	104
sub-1268	42	81	30	81
sub-1269	68	101	96	118
sub-1276	25	38	14	42
sub-1277	62	103	48	90
sub-1278	68	127	59	114
sub-1283	62	89	76	104
sub-1284	63	105	73	114
