onset	duration	trial_type	trial_name	prime_stim	targ_stim	response_time	resp	cresp	acc
1.533	6.583	1	Onset	GemM2.mpg	JetM1.mpg	1538	8	7	0
8.116	6.099	2	Offset	DimF2.mpg	HimF1.mpg	1348	8	7	0
14.215	5.616	3	Diff	TapM2.mpg	HisM2.mpg	120	7	8	0
19.831	5.599	3	Diff	HotF1.mpg	RagF1.mpg	1657	8	8	1
25.43	5.599	3	Diff	FatM2.mpg	JobM2.mpg	1001	7	8	0
31.029	6.116	5	PercY	CheeksM1.mpg	CheeksM1.mpg	898	7	7	1
37.145	5.599	2	Offset	DamM1.mpg	HamM2.mpg	1758	8	7	0
42.744	5.6	1	Onset	PigM2.mpg	PinM2.mpg	1767	8	7	0
48.344	5.616	2	Offset	KidF1.mpg	LidF1.mpg	1015	7	7	1
53.96	6.599	3	Diff	HitM2.mpg	CapM2.mpg	1545	8	8	1
60.559	6.099	6	PercN	CheeksF1.mpg	TongueF1.mpg	1017	8	8	1
66.658	6.116	2	Offset	GodM2.mpg	NodM2.mpg	2413	7	7	1
72.774	6.599	7	FixY	Gen/_Fix_Green.mpg	Gen/_Fix_Green.mpg	465	8	7	0
79.373	5.599	7	FixY	Gen/_Fix_Red.mpg	Gen/_Fix_Red.mpg	1874	7	7	1
84.972	5.616	5	PercY	TongueM2.mpg	TongueM2.mpg	3419	8	7	0
90.588	5.6	6	PercN	TeethF1.mpg	CheeksF1.mpg	1587	7	8	0
96.188	5.599	1	Onset	MudF1.mpg	MugF2.mpg	1940	7	7	1
101.787	6.099	3	Diff	GasF1.mpg	PopF2.mpg	1244	8	8	1
107.886	6.116	8	FixN	Gen/_Fix_Green.mpg	Gen/_Fix_Red.mpg	1313	8	8	1
114.002	5.599	5	PercY	TeethF1.mpg	TeethF1.mpg	3703	NA	7	NA
119.601	6.116	3	Diff	SetM2.mpg	JamM2.mpg	4204	NA	8	NA
125.717	6.116	6	PercN	CheeksM1.mpg	TeethM1.mpg	794	8	8	1
131.833	5.583	8	FixN	Gen/_Fix_Green.mpg	Gen/_Fix_Red.mpg	1214	8	8	1
137.416	6.099	7	FixY	Gen/_Fix_Red.mpg	Gen/_Fix_Red.mpg	360	7	7	1
143.515	6.616	6	PercN	TeethM1.mpg	TongueM2.mpg	1364	8	8	1
150.131	6.599	3	Diff	PutM2.mpg	LogM2.mpg	3437	7	8	0
156.73	6.599	5	PercY	TongueF1.mpg	TongueF1.mpg	77	8	7	0
163.329	6.616	8	FixN	Gen/_Fix_Red.mpg	Gen/_Fix_Green.mpg	790	8	8	1
169.945	5.599	7	FixY	Gen/_Fix_Green.mpg	Gen/_Fix_Green.mpg	542	7	7	1
175.544	6.099	3	Diff	HatM2.mpg	PubM2.mpg	1056	8	8	1
181.643	5.616	6	PercN	TongueM2.mpg	CheeksM1.mpg	2132	8	8	1
187.259	6.099	1	Onset	RapF1.mpg	RatF1.mpg	2668	8	7	0
193.358	6.1	7	FixY	Gen/_Fix_Red.mpg	Gen/_Fix_Red.mpg	513	7	7	1
199.458	6.615	3	Diff	JigF1.mpg	PutF1.mpg	1718	8	8	1
206.073	5.6	3	Diff	FunF1.mpg	LipF1.mpg	3478	7	8	0
211.673	6.099	1	Onset	BigM2.mpg	BidM2.mpg	4410	8	7	0
217.772	6.116	5	PercY	CheeksF1.mpg	CheeksF1.mpg	484	7	7	1
223.888	5.599	8	FixN	Gen/_Fix_Red.mpg	Gen/_Fix_Green.mpg	1487	8	8	1
229.487	6.599	2	Offset	GapM2.mpg	LapM2.mpg	1288	8	7	0
236.086	6.616	2	Offset	CanF1.mpg	PanF1.mpg	1649	8	7	0
242.702	6.099	8	FixN	Gen/_Fix_Red.mpg	Gen/_Fix_Green.mpg	1218	7	8	0
248.801	6.116	3	Diff	MenF1.mpg	CupF2.mpg	1559	7	8	0
254.917	6.616	7	FixY	Gen/_Fix_Green.mpg	Gen/_Fix_Green.mpg	434	8	7	0
261.533	6.582	8	FixN	Gen/_Fix_Green.mpg	Gen/_Fix_Red.mpg	522	8	8	1
268.115	6.6	3	Diff	LogF1.mpg	HatF1.mpg	1428	8	8	1
274.715	6.615	1	Onset	SumF1.mpg	SonF1.mpg	1492	7	7	1
281.33	6.6	6	PercN	TongueF1.mpg	TeethF1.mpg	2061	8	8	1
287.93	6.132	5	PercY	TeethM1.mpg	TeethM1.mpg	2374	8	7	0
